,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Day0,57.0,4.0,99.0,19.0,1.0,16.0,12.0,5.0,5.0,2.0,2.0,5.0,3.0,2.0,3.0,4.0,1.0,7.0,99.0,1.0
Day1,10.0,60.0,98.0,14.0,3.0,13.0,6.0,7.0,3.0,2.0,1.0,0.0,0.0,3.0,1.0,3.0,4.0,3.0,98.0,2.0
Day2,16.0,3.0,99.0,12.0,2.0,12.0,12.0,8.0,2.0,2.0,4.0,4.0,4.0,2.0,6.0,3.0,2.0,2.0,98.0,2.0
Day3,11.0,0.0,97.0,66.0,4.0,17.0,6.0,6.0,5.0,4.0,4.0,1.0,2.0,2.0,5.0,5.0,5.0,2.0,96.0,4.0
Day4,16.0,2.0,98.0,11.0,59.0,8.0,11.0,6.0,1.0,5.0,6.0,3.0,3.0,4.0,4.0,1.0,2.0,1.0,97.0,3.0
Day5,16.0,5.0,100.0,65.0,1.0,62.0,10.0,8.0,3.0,4.0,2.0,0.0,4.0,3.0,2.0,1.0,3.0,1.0,99.0,1.0
Day6,65.0,1.0,97.0,13.0,3.0,13.0,60.0,7.0,1.0,4.0,3.0,5.0,3.0,1.0,3.0,0.0,1.0,5.0,97.0,3.0
Day7,18.0,3.0,100.0,16.0,3.0,13.0,12.0,49.0,4.0,2.0,2.0,3.0,4.0,2.0,4.0,6.0,3.0,4.0,100.0,0.0
Day8,22.0,2.0,99.0,14.0,0.0,11.0,19.0,8.0,41.0,2.0,4.0,3.0,7.0,5.0,4.0,3.0,2.0,2.0,99.0,1.0
Day9,72.0,4.0,98.0,10.0,2.0,9.0,10.0,6.0,2.0,57.0,3.0,2.0,3.0,1.0,0.0,4.0,2.0,1.0,98.0,2.0
Day10,22.0,3.0,100.0,17.0,2.0,15.0,15.0,53.0,1.0,6.0,52.0,3.0,5.0,2.0,1.0,2.0,5.0,4.0,100.0,0.0
Day11,57.0,3.0,98.0,23.0,1.0,22.0,56.0,6.0,4.0,0.0,4.0,46.0,1.0,4.0,3.0,2.0,9.0,3.0,97.0,3.0
Day12,67.0,2.0,100.0,14.0,5.0,11.0,63.0,4.0,4.0,1.0,2.0,3.0,56.0,2.0,1.0,3.0,4.0,1.0,100.0,0.0
Day13,64.0,3.0,99.0,11.0,3.0,10.0,60.0,13.0,4.0,3.0,8.0,3.0,3.0,49.0,0.0,2.0,1.0,5.0,99.0,1.0
Day14,18.0,2.0,100.0,17.0,1.0,13.0,12.0,3.0,3.0,4.0,2.0,1.0,3.0,2.0,54.0,5.0,5.0,1.0,100.0,0.0
Day15,14.0,5.0,97.0,63.0,4.0,64.0,4.0,2.0,3.0,5.0,0.0,0.0,1.0,0.0,5.0,53.0,3.0,3.0,97.0,3.0
Day16,25.0,2.0,99.0,61.0,2.0,57.0,15.0,4.0,0.0,6.0,2.0,4.0,2.0,5.0,4.0,7.0,41.0,3.0,99.0,1.0
Day17,22.0,0.0,96.0,60.0,5.0,60.0,13.0,3.0,0.0,7.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,53.0,96.0,4.0
Day18,70.0,3.0,99.0,11.0,0.0,8.0,9.0,8.0,6.0,4.0,4.0,0.0,3.0,3.0,2.0,2.0,1.0,3.0,99.0,1.0
Day19,16.0,55.0,99.0,18.0,4.0,13.0,8.0,3.0,1.0,5.0,2.0,1.0,0.0,5.0,2.0,4.0,3.0,1.0,99.0,1.0
Day20,16.0,4.0,97.0,14.0,4.0,16.0,9.0,3.0,3.0,4.0,2.0,3.0,0.0,2.0,2.0,3.0,4.0,6.0,96.0,4.0
Day21,16.0,4.0,98.0,62.0,4.0,11.0,10.0,7.0,1.0,3.0,4.0,3.0,0.0,3.0,2.0,4.0,3.0,1.0,98.0,2.0
Day22,14.0,2.0,100.0,16.0,52.0,15.0,10.0,8.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,100.0,0.0
Day23,17.0,6.0,97.0,59.0,2.0,56.0,14.0,5.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,7.0,2.0,2.0,97.0,3.0
Day24,67.0,3.0,97.0,13.0,4.0,13.0,64.0,4.0,2.0,4.0,2.0,5.0,3.0,4.0,1.0,1.0,4.0,2.0,97.0,3.0
Day25,22.0,3.0,99.0,16.0,5.0,12.0,17.0,45.0,3.0,2.0,0.0,1.0,6.0,5.0,2.0,3.0,3.0,1.0,99.0,1.0
Day26,20.0,1.0,99.0,13.0,5.0,10.0,12.0,4.0,53.0,4.0,1.0,2.0,4.0,2.0,2.0,3.0,0.0,5.0,99.0,1.0
