,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Day0,69.0,16.0,99.0,25.0,1.0,21.0,12.0,5.0,5.0,2.0,2.0,5.0,3.0,2.0,3.0,4.0,1.0,7.0,99.0,1.0
Day1,26.0,66.0,98.0,24.0,3.0,20.0,6.0,7.0,3.0,2.0,1.0,0.0,0.0,3.0,1.0,3.0,4.0,3.0,98.0,2.0
Day2,25.0,15.0,99.0,21.0,2.0,19.0,12.0,8.0,2.0,2.0,4.0,4.0,4.0,2.0,6.0,3.0,2.0,2.0,98.0,2.0
Day3,80.0,6.0,97.0,76.0,4.0,22.0,6.0,6.0,5.0,4.0,4.0,1.0,2.0,2.0,5.0,5.0,5.0,2.0,96.0,4.0
Day4,80.0,13.0,98.0,76.0,59.0,14.0,11.0,6.0,1.0,5.0,6.0,3.0,3.0,4.0,4.0,1.0,2.0,1.0,97.0,3.0
Day5,80.0,15.0,100.0,74.0,1.0,70.0,10.0,8.0,3.0,4.0,2.0,0.0,4.0,3.0,2.0,1.0,3.0,1.0,99.0,1.0
Day6,30.0,61.0,97.0,25.0,3.0,20.0,60.0,7.0,1.0,4.0,3.0,5.0,3.0,1.0,3.0,0.0,1.0,5.0,97.0,3.0
Day7,74.0,15.0,100.0,68.0,3.0,62.0,12.0,49.0,4.0,2.0,2.0,3.0,4.0,2.0,4.0,6.0,3.0,4.0,100.0,0.0
Day8,26.0,21.0,99.0,23.0,0.0,19.0,19.0,8.0,41.0,2.0,4.0,3.0,7.0,5.0,4.0,3.0,2.0,2.0,99.0,1.0
Day9,79.0,14.0,98.0,18.0,2.0,15.0,10.0,6.0,2.0,57.0,3.0,2.0,3.0,1.0,0.0,4.0,2.0,1.0,98.0,2.0
Day10,79.0,18.0,100.0,72.0,2.0,68.0,15.0,53.0,1.0,6.0,52.0,3.0,5.0,2.0,1.0,2.0,5.0,4.0,100.0,0.0
Day11,31.0,59.0,98.0,31.0,1.0,28.0,56.0,6.0,4.0,0.0,4.0,46.0,1.0,4.0,3.0,2.0,9.0,3.0,97.0,3.0
Day12,27.0,65.0,100.0,23.0,5.0,15.0,63.0,4.0,4.0,1.0,2.0,3.0,56.0,2.0,1.0,3.0,4.0,1.0,100.0,0.0
Day13,32.0,63.0,99.0,28.0,3.0,23.0,60.0,13.0,4.0,3.0,8.0,3.0,3.0,49.0,0.0,2.0,1.0,5.0,99.0,1.0
Day14,27.0,14.0,100.0,21.0,1.0,16.0,12.0,3.0,3.0,4.0,2.0,1.0,3.0,2.0,54.0,5.0,5.0,1.0,100.0,0.0
Day15,79.0,9.0,97.0,69.0,4.0,66.0,4.0,2.0,3.0,5.0,0.0,0.0,1.0,0.0,5.0,53.0,3.0,3.0,97.0,3.0
Day16,75.0,17.0,99.0,66.0,2.0,61.0,15.0,4.0,0.0,6.0,2.0,4.0,2.0,5.0,4.0,7.0,41.0,3.0,99.0,1.0
Day17,78.0,13.0,96.0,69.0,5.0,63.0,13.0,3.0,0.0,7.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,53.0,96.0,4.0
Day18,79.0,12.0,99.0,19.0,0.0,16.0,9.0,8.0,6.0,4.0,4.0,0.0,3.0,3.0,2.0,2.0,1.0,3.0,99.0,1.0
Day19,32.0,63.0,99.0,25.0,4.0,16.0,8.0,3.0,1.0,5.0,2.0,1.0,0.0,5.0,2.0,4.0,3.0,1.0,99.0,1.0
Day20,28.0,13.0,97.0,21.0,4.0,18.0,9.0,3.0,3.0,4.0,2.0,3.0,0.0,2.0,2.0,3.0,4.0,6.0,96.0,4.0
Day21,76.0,14.0,98.0,72.0,4.0,18.0,10.0,7.0,1.0,3.0,4.0,3.0,0.0,3.0,2.0,4.0,3.0,1.0,98.0,2.0
Day22,80.0,12.0,100.0,76.0,52.0,23.0,10.0,8.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,100.0,0.0
Day23,70.0,20.0,98.0,67.0,2.0,60.0,14.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,7.0,2.0,2.0,97.0,3.0
Day24,27.0,67.0,97.0,24.0,4.0,17.0,64.0,4.0,2.0,4.0,2.0,5.0,3.0,4.0,1.0,1.0,4.0,2.0,97.0,3.0
Day25,70.0,20.0,99.0,65.0,5.0,56.0,17.0,45.0,3.0,2.0,0.0,1.0,6.0,5.0,2.0,3.0,3.0,1.0,99.0,1.0
Day26,30.0,13.0,100.0,22.0,5.0,13.0,12.0,3.0,53.0,4.0,1.0,2.0,4.0,2.0,2.0,3.0,0.0,5.0,99.0,1.0
Day27,75.0,14.0,98.0,22.0,1.0,17.0,10.0,7.0,7.0,53.0,4.0,5.0,1.0,2.0,1.0,2.0,3.0,2.0,98.0,2.0
Day28,75.0,13.0,99.0,70.0,2.0,66.0,9.0,53.0,2.0,4.0,51.0,0.0,2.0,4.0,3.0,2.0,6.0,2.0,99.0,1.0
Day29,29.0,63.0,98.0,23.0,2.0,20.0,60.0,10.0,3.0,2.0,2.0,51.0,5.0,2.0,4.0,1.0,1.0,3.0,98.0,2.0
