,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Day0,15.0,10.0,33.0,12.0,21.0,6.0,10.0,8.0,6.0,6.0,14.0,6.0,10.0,8.0,23.0,22.0,37.0,17.0,5.0,7.0
Day1,23.0,7.0,19.0,12.0,18.0,9.0,17.0,10.0,13.0,5.0,15.0,6.0,15.0,6.0,27.0,37.0,19.0,12.0,10.0,13.0
Day2,14.0,12.0,24.0,11.0,13.0,13.0,10.0,12.0,11.0,5.0,16.0,9.0,8.0,9.0,27.0,26.0,26.0,13.0,10.0,10.0
Day3,30.0,12.0,27.0,9.0,17.0,9.0,4.0,6.0,9.0,3.0,15.0,5.0,10.0,14.0,16.0,32.0,28.0,12.0,16.0,12.0
Day4,26.0,11.0,20.0,19.0,13.0,9.0,10.0,6.0,12.0,9.0,19.0,4.0,10.0,5.0,25.0,26.0,23.0,15.0,14.0,12.0
Day5,17.0,12.0,26.0,7.0,19.0,9.0,7.0,9.0,14.0,11.0,24.0,4.0,12.0,7.0,23.0,28.0,28.0,9.0,9.0,12.0
Day6,16.0,8.0,29.0,8.0,17.0,9.0,8.0,11.0,7.0,4.0,15.0,10.0,7.0,12.0,22.0,27.0,28.0,8.0,14.0,12.0
Day7,21.0,10.0,29.0,14.0,17.0,9.0,11.0,5.0,11.0,6.0,17.0,6.0,10.0,7.0,24.0,24.0,33.0,11.0,11.0,10.0
Day8,17.0,9.0,21.0,17.0,14.0,7.0,9.0,13.0,14.0,6.0,15.0,10.0,10.0,6.0,25.0,30.0,26.0,13.0,10.0,7.0
Day9,22.0,9.0,25.0,10.0,14.0,8.0,13.0,3.0,11.0,10.0,23.0,5.0,6.0,6.0,25.0,27.0,25.0,12.0,14.0,12.0
Day10,17.0,12.0,23.0,8.0,14.0,8.0,10.0,11.0,9.0,7.0,21.0,5.0,13.0,12.0,19.0,30.0,27.0,15.0,12.0,11.0
Day11,20.0,12.0,21.0,14.0,16.0,9.0,15.0,7.0,8.0,9.0,17.0,6.0,6.0,3.0,25.0,27.0,19.0,29.0,5.0,7.0
Day12,26.0,11.0,26.0,14.0,17.0,4.0,9.0,8.0,11.0,9.0,12.0,7.0,10.0,6.0,23.0,29.0,19.0,16.0,15.0,10.0
Day13,24.0,4.0,21.0,14.0,17.0,7.0,13.0,5.0,10.0,6.0,20.0,6.0,6.0,8.0,30.0,30.0,22.0,12.0,13.0,9.0
Day14,23.0,8.0,27.0,13.0,19.0,6.0,15.0,10.0,10.0,5.0,14.0,6.0,11.0,7.0,27.0,23.0,22.0,14.0,14.0,12.0
Day15,21.0,10.0,27.0,11.0,12.0,3.0,4.0,9.0,16.0,5.0,15.0,13.0,13.0,11.0,18.0,21.0,37.0,11.0,13.0,9.0
Day16,18.0,8.0,24.0,14.0,15.0,6.0,11.0,9.0,10.0,8.0,19.0,8.0,8.0,11.0,25.0,29.0,32.0,12.0,6.0,9.0
Day17,28.0,7.0,24.0,13.0,18.0,7.0,11.0,8.0,14.0,13.0,19.0,5.0,7.0,7.0,26.0,29.0,23.0,10.0,8.0,15.0
Day18,14.0,3.0,29.0,8.0,28.0,4.0,9.0,9.0,15.0,8.0,16.0,8.0,12.0,6.0,30.0,29.0,24.0,9.0,9.0,12.0
Day19,23.0,9.0,21.0,18.0,20.0,7.0,5.0,8.0,19.0,5.0,15.0,2.0,12.0,7.0,31.0,33.0,23.0,11.0,8.0,5.0
Day20,19.0,3.0,25.0,17.0,14.0,8.0,12.0,6.0,8.0,11.0,21.0,9.0,4.0,9.0,22.0,21.0,30.0,15.0,14.0,11.0
Day21,24.0,3.0,30.0,14.0,19.0,5.0,8.0,8.0,11.0,8.0,16.0,15.0,6.0,10.0,29.0,23.0,28.0,11.0,13.0,9.0
Day22,19.0,10.0,27.0,18.0,16.0,12.0,10.0,13.0,7.0,10.0,23.0,10.0,8.0,4.0,29.0,26.0,22.0,14.0,11.0,10.0
Day23,30.0,9.0,24.0,13.0,12.0,8.0,6.0,7.0,12.0,10.0,18.0,6.0,10.0,11.0,19.0,30.0,28.0,15.0,15.0,11.0
Day24,24.0,13.0,28.0,18.0,11.0,8.0,7.0,9.0,6.0,6.0,20.0,7.0,7.0,2.0,25.0,25.0,31.0,17.0,9.0,6.0
Day25,24.0,7.0,22.0,11.0,13.0,8.0,11.0,12.0,15.0,3.0,11.0,7.0,10.0,8.0,20.0,30.0,19.0,22.0,9.0,15.0
Day26,14.0,11.0,29.0,13.0,22.0,8.0,8.0,5.0,11.0,6.0,16.0,10.0,9.0,10.0,31.0,29.0,23.0,19.0,8.0,8.0
Day27,14.0,10.0,23.0,10.0,11.0,12.0,17.0,10.0,8.0,12.0,22.0,5.0,6.0,5.0,25.0,32.0,25.0,17.0,8.0,9.0
Day28,36.0,5.0,25.0,13.0,17.0,5.0,11.0,7.0,10.0,6.0,16.0,5.0,8.0,12.0,24.0,27.0,18.0,13.0,17.0,14.0
Day29,20.0,13.0,34.0,7.0,28.0,4.0,8.0,4.0,14.0,6.0,18.0,10.0,10.0,4.0,29.0,31.0,22.0,9.0,12.0,9.0
