,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Day0,47.0,3.0,5.0,4.0,2.0,1.0,3.0,4.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,4.0,4.0,6.0,100.0,0.0
Day1,2.0,61.0,5.0,1.0,2.0,3.0,2.0,6.0,3.0,1.0,1.0,0.0,0.0,3.0,2.0,2.0,3.0,3.0,97.0,3.0
Day2,1.0,3.0,48.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,5.0,5.0,2.0,2.0,98.0,2.0
Day3,2.0,1.0,1.0,54.0,4.0,0.0,1.0,2.0,3.0,5.0,5.0,2.0,2.0,3.0,6.0,3.0,5.0,1.0,95.0,5.0
Day4,2.0,3.0,2.0,2.0,62.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,3.0,3.0,4.0,1.0,2.0,2.0,99.0,1.0
Day5,2.0,3.0,4.0,4.0,3.0,51.0,4.0,7.0,3.0,4.0,2.0,1.0,4.0,3.0,1.0,1.0,2.0,1.0,98.0,2.0
Day6,2.0,1.0,1.0,2.0,2.0,5.0,52.0,4.0,2.0,4.0,3.0,4.0,5.0,1.0,4.0,1.0,1.0,6.0,98.0,2.0
Day7,5.0,4.0,7.0,4.0,2.0,0.0,4.0,42.0,4.0,2.0,2.0,4.0,3.0,2.0,5.0,5.0,3.0,2.0,100.0,0.0
Day8,2.0,2.0,4.0,3.0,0.0,3.0,4.0,6.0,45.0,3.0,4.0,2.0,6.0,4.0,2.0,4.0,4.0,2.0,99.0,1.0
Day9,4.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,58.0,5.0,2.0,5.0,1.0,1.0,5.0,0.0,2.0,98.0,2.0
Day10,3.0,4.0,1.0,2.0,2.0,4.0,5.0,0.0,2.0,5.0,50.0,4.0,3.0,2.0,1.0,1.0,7.0,4.0,99.0,1.0
Day11,0.0,2.0,4.0,3.0,2.0,4.0,6.0,2.0,2.0,1.0,3.0,49.0,2.0,6.0,3.0,1.0,7.0,3.0,98.0,2.0
Day12,3.0,2.0,3.0,4.0,5.0,4.0,3.0,2.0,4.0,0.0,3.0,5.0,54.0,0.0,0.0,3.0,4.0,1.0,100.0,0.0
Day13,2.0,4.0,1.0,2.0,3.0,1.0,4.0,6.0,4.0,4.0,8.0,1.0,4.0,45.0,2.0,3.0,2.0,4.0,99.0,1.0
Day14,4.0,1.0,2.0,2.0,2.0,1.0,7.0,0.0,3.0,5.0,1.0,1.0,2.0,2.0,54.0,6.0,5.0,2.0,99.0,1.0
Day15,6.0,7.0,1.0,4.0,2.0,7.0,4.0,2.0,3.0,3.0,0.0,1.0,1.0,1.0,4.0,50.0,2.0,2.0,98.0,2.0
Day16,3.0,0.0,3.0,2.0,2.0,3.0,3.0,2.0,0.0,8.0,3.0,4.0,3.0,4.0,5.0,6.0,46.0,3.0,98.0,2.0
Day17,3.0,0.0,4.0,4.0,5.0,2.0,4.0,3.0,1.0,7.0,2.0,2.0,2.0,4.0,1.0,3.0,3.0,50.0,97.0,3.0
Day18,59.0,4.0,1.0,4.0,0.0,2.0,2.0,4.0,5.0,3.0,3.0,1.0,3.0,1.0,3.0,2.0,0.0,3.0,99.0,1.0
Day19,2.0,59.0,2.0,4.0,4.0,3.0,2.0,0.0,1.0,6.0,2.0,2.0,0.0,5.0,1.0,3.0,3.0,1.0,99.0,1.0
Day20,4.0,4.0,48.0,2.0,4.0,1.0,4.0,1.0,3.0,3.0,3.0,1.0,0.0,5.0,3.0,4.0,4.0,6.0,96.0,4.0
Day21,2.0,3.0,4.0,53.0,4.0,2.0,5.0,3.0,1.0,4.0,3.0,3.0,1.0,0.0,2.0,4.0,4.0,2.0,98.0,2.0
Day22,1.0,2.0,4.0,3.0,50.0,2.0,3.0,5.0,5.0,1.0,2.0,3.0,3.0,3.0,3.0,5.0,2.0,3.0,99.0,1.0
Day23,2.0,6.0,3.0,5.0,1.0,48.0,2.0,1.0,2.0,2.0,4.0,5.0,4.0,2.0,2.0,5.0,3.0,3.0,98.0,2.0
Day24,2.0,3.0,2.0,2.0,4.0,4.0,51.0,1.0,3.0,4.0,2.0,3.0,4.0,6.0,3.0,1.0,4.0,1.0,96.0,4.0
Day25,4.0,2.0,5.0,7.0,5.0,2.0,4.0,48.0,1.0,4.0,0.0,2.0,5.0,3.0,1.0,4.0,2.0,1.0,100.0,0.0
Day26,5.0,1.0,2.0,3.0,4.0,1.0,5.0,1.0,56.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,5.0,98.0,2.0
Day27,0.0,4.0,3.0,4.0,1.0,1.0,1.0,3.0,6.0,58.0,2.0,3.0,2.0,4.0,1.0,3.0,2.0,2.0,98.0,2.0
Day28,1.0,5.0,5.0,3.0,3.0,3.0,4.0,5.0,2.0,2.0,46.0,0.0,1.0,4.0,5.0,2.0,6.0,3.0,99.0,1.0
Day29,5.0,3.0,0.0,2.0,2.0,5.0,2.0,7.0,2.0,2.0,2.0,55.0,5.0,0.0,2.0,1.0,3.0,2.0,99.0,1.0
Day30,2.0,4.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,0.0,59.0,4.0,2.0,0.0,5.0,7.0,100.0,0.0
Day31,4.0,1.0,1.0,2.0,3.0,6.0,1.0,3.0,4.0,5.0,3.0,4.0,2.0,50.0,3.0,4.0,2.0,2.0,98.0,2.0
