,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Day0,75.0,3.0,17.0,10.0,2.0,1.0,3.0,4.0,3.0,2.0,6.0,3.0,1.0,7.0,3.0,4.0,4.0,6.0,33.0,67.0
Day1,83.0,1.0,11.0,4.0,2.0,3.0,2.0,6.0,3.0,1.0,5.0,0.0,0.0,7.0,2.0,2.0,3.0,3.0,34.0,66.0
Day2,73.0,3.0,17.0,9.0,3.0,2.0,2.0,3.0,7.0,2.0,8.0,4.0,4.0,6.0,5.0,5.0,2.0,2.0,25.0,75.0
Day3,74.0,1.0,12.0,7.0,4.0,0.0,1.0,2.0,3.0,5.0,10.0,2.0,2.0,11.0,6.0,3.0,5.0,1.0,31.0,69.0
Day4,80.0,3.0,15.0,6.0,6.0,1.0,1.0,1.0,2.0,3.0,9.0,2.0,3.0,5.0,4.0,1.0,2.0,2.0,27.0,73.0
Day5,75.0,3.0,19.0,5.0,3.0,1.0,4.0,7.0,3.0,4.0,7.0,1.0,4.0,5.0,1.0,1.0,2.0,1.0,27.0,73.0
Day6,82.0,1.0,15.0,10.0,2.0,5.0,4.0,4.0,3.0,4.0,12.0,4.0,5.0,3.0,4.0,1.0,1.0,6.0,31.0,69.0
Day7,70.0,4.0,22.0,8.0,2.0,0.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,6.0,5.0,5.0,3.0,2.0,31.0,69.0
Day8,73.0,2.0,17.0,4.0,0.0,3.0,4.0,6.0,3.0,3.0,10.0,2.0,6.0,10.0,2.0,4.0,4.0,2.0,34.0,66.0
Day9,82.0,3.0,17.0,4.0,2.0,2.0,1.0,1.0,3.0,2.0,9.0,2.0,5.0,1.0,1.0,5.0,0.0,2.0,18.0,82.0
Day10,73.0,4.0,15.0,4.0,2.0,4.0,5.0,0.0,2.0,5.0,14.0,4.0,3.0,9.0,1.0,1.0,7.0,4.0,23.0,77.0
Day11,73.0,2.0,14.0,7.0,2.0,4.0,6.0,2.0,2.0,1.0,8.0,2.0,2.0,14.0,3.0,1.0,7.0,3.0,27.0,73.0
Day12,79.0,2.0,17.0,4.0,5.0,4.0,3.0,2.0,4.0,0.0,7.0,5.0,2.0,4.0,0.0,3.0,4.0,1.0,31.0,69.0
Day13,76.0,4.0,18.0,4.0,3.0,1.0,4.0,6.0,4.0,4.0,13.0,1.0,4.0,5.0,2.0,3.0,2.0,4.0,30.0,70.0
Day14,82.0,1.0,9.0,6.0,2.0,1.0,7.0,0.0,4.0,5.0,7.0,1.0,2.0,7.0,4.0,6.0,5.0,2.0,19.0,81.0
Day15,81.0,7.0,13.0,7.0,2.0,7.0,4.0,2.0,4.0,3.0,10.0,1.0,1.0,4.0,4.0,7.0,2.0,2.0,25.0,75.0
Day16,73.0,0.0,15.0,5.0,2.0,3.0,3.0,2.0,1.0,8.0,14.0,4.0,3.0,8.0,5.0,6.0,2.0,3.0,26.0,74.0
Day17,70.0,0.0,18.0,5.0,5.0,2.0,4.0,3.0,2.0,7.0,11.0,2.0,2.0,7.0,1.0,3.0,3.0,4.0,26.0,74.0
Day18,84.0,4.0,12.0,7.0,0.0,2.0,2.0,4.0,6.0,3.0,8.0,1.0,3.0,2.0,3.0,2.0,0.0,3.0,24.0,76.0
Day19,76.0,5.0,11.0,5.0,4.0,3.0,2.0,0.0,1.0,6.0,11.0,2.0,0.0,9.0,1.0,3.0,3.0,1.0,21.0,79.0
Day20,74.0,4.0,15.0,7.0,4.0,1.0,4.0,1.0,3.0,3.0,7.0,1.0,0.0,9.0,3.0,4.0,4.0,6.0,28.0,72.0
Day21,73.0,3.0,14.0,3.0,4.0,2.0,5.0,3.0,1.0,4.0,9.0,3.0,1.0,6.0,2.0,4.0,4.0,2.0,37.0,63.0
Day22,75.0,2.0,20.0,5.0,5.0,2.0,3.0,5.0,6.0,1.0,5.0,3.0,3.0,6.0,3.0,5.0,2.0,3.0,42.0,58.0
Day23,73.0,6.0,14.0,8.0,1.0,1.0,2.0,1.0,3.0,2.0,7.0,5.0,4.0,5.0,2.0,5.0,3.0,3.0,30.0,70.0
Day24,73.0,3.0,15.0,4.0,4.0,4.0,4.0,1.0,5.0,4.0,10.0,3.0,4.0,11.0,3.0,1.0,4.0,1.0,32.0,68.0
Day25,77.0,2.0,18.0,8.0,5.0,2.0,4.0,2.0,2.0,4.0,6.0,2.0,5.0,6.0,1.0,4.0,2.0,1.0,39.0,61.0
Day26,81.0,1.0,15.0,5.0,4.0,1.0,5.0,1.0,3.0,2.0,6.0,3.0,3.0,3.0,1.0,2.0,1.0,5.0,31.0,69.0
Day27,78.0,4.0,14.0,5.0,1.0,1.0,1.0,3.0,6.0,3.0,6.0,3.0,2.0,7.0,1.0,3.0,2.0,2.0,35.0,65.0
Day28,74.0,5.0,15.0,8.0,3.0,3.0,4.0,5.0,3.0,2.0,7.0,0.0,1.0,12.0,5.0,2.0,6.0,3.0,27.0,73.0
Day29,72.0,3.0,17.0,3.0,2.0,5.0,2.0,7.0,3.0,2.0,9.0,4.0,5.0,5.0,2.0,1.0,3.0,2.0,33.0,67.0
Day30,80.0,4.0,11.0,5.0,2.0,3.0,3.0,2.0,4.0,2.0,6.0,0.0,2.0,9.0,2.0,0.0,5.0,7.0,32.0,68.0
Day31,83.0,1.0,13.0,5.0,3.0,6.0,1.0,3.0,4.0,5.0,14.0,4.0,2.0,3.0,3.0,4.0,2.0,2.0,32.0,68.0
Day32,78.0,2.0,17.0,4.0,4.0,4.0,3.0,4.0,5.0,1.0,6.0,4.0,5.0,5.0,4.0,1.0,3.0,1.0,19.0,81.0
Day33,81.0,0.0,12.0,3.0,4.0,0.0,3.0,0.0,3.0,1.0,7.0,1.0,3.0,9.0,1.0,2.0,4.0,1.0,33.0,67.0
Day34,77.0,0.0,16.0,4.0,1.0,1.0,2.0,7.0,4.0,1.0,3.0,2.0,6.0,6.0,4.0,3.0,1.0,2.0,29.0,71.0
Day35,75.0,2.0,12.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,10.0,7.0,2.0,8.0,2.0,3.0,4.0,3.0,37.0,63.0
