,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Day0,74.0,3.0,14.0,8.0,2.0,1.0,3.0,4.0,3.0,2.0,6.0,3.0,1.0,9.0,3.0,4.0,4.0,6.0,71.0,29.0
Day1,24.0,61.0,31.0,4.0,2.0,3.0,2.0,6.0,3.0,1.0,5.0,0.0,0.0,8.0,2.0,2.0,3.0,3.0,68.0,32.0
Day2,60.0,3.0,53.0,6.0,3.0,2.0,2.0,3.0,8.0,2.0,8.0,4.0,4.0,9.0,5.0,5.0,2.0,2.0,63.0,37.0
Day3,76.0,1.0,8.0,57.0,4.0,0.0,1.0,2.0,4.0,5.0,10.0,2.0,2.0,12.0,6.0,3.0,5.0,1.0,68.0,32.0
Day4,56.0,3.0,66.0,5.0,62.0,1.0,1.0,1.0,3.0,3.0,9.0,2.0,3.0,7.0,4.0,1.0,2.0,2.0,73.0,27.0
Day5,43.0,3.0,12.0,4.0,3.0,51.0,4.0,7.0,5.0,4.0,57.0,1.0,4.0,6.0,1.0,1.0,2.0,1.0,70.0,30.0
Day6,80.0,1.0,7.0,9.0,2.0,5.0,52.0,4.0,6.0,4.0,12.0,4.0,5.0,5.0,4.0,1.0,1.0,6.0,77.0,23.0
Day7,58.0,4.0,29.0,5.0,2.0,0.0,4.0,42.0,6.0,2.0,4.0,4.0,3.0,10.0,5.0,5.0,3.0,2.0,66.0,34.0
Day8,79.0,2.0,9.0,5.0,0.0,3.0,4.0,6.0,49.0,3.0,10.0,2.0,6.0,10.0,2.0,4.0,4.0,2.0,68.0,32.0
Day9,53.0,3.0,9.0,3.0,2.0,2.0,1.0,1.0,7.0,58.0,65.0,2.0,5.0,2.0,1.0,5.0,0.0,2.0,60.0,40.0
Day10,37.0,4.0,7.0,5.0,2.0,4.0,5.0,0.0,4.0,5.0,59.0,4.0,3.0,10.0,1.0,1.0,7.0,4.0,69.0,31.0
Day11,26.0,2.0,26.0,7.0,2.0,4.0,6.0,2.0,4.0,1.0,8.0,49.0,2.0,14.0,3.0,1.0,7.0,3.0,69.0,31.0
Day12,67.0,2.0,27.0,4.0,5.0,4.0,3.0,2.0,43.0,0.0,7.0,5.0,54.0,4.0,0.0,3.0,4.0,1.0,71.0,29.0
Day13,35.0,4.0,6.0,7.0,3.0,1.0,4.0,6.0,8.0,4.0,13.0,1.0,4.0,48.0,2.0,3.0,2.0,4.0,82.0,18.0
Day14,47.0,1.0,6.0,21.0,2.0,1.0,7.0,0.0,4.0,5.0,7.0,1.0,2.0,43.0,54.0,6.0,5.0,2.0,69.0,31.0
Day15,77.0,7.0,7.0,7.0,2.0,7.0,4.0,2.0,4.0,3.0,10.0,1.0,1.0,5.0,4.0,50.0,2.0,2.0,74.0,26.0
Day16,26.0,0.0,10.0,4.0,2.0,3.0,3.0,2.0,2.0,8.0,14.0,4.0,3.0,54.0,5.0,6.0,46.0,3.0,73.0,27.0
Day17,69.0,0.0,18.0,48.0,5.0,2.0,4.0,3.0,3.0,7.0,11.0,2.0,2.0,7.0,1.0,3.0,3.0,50.0,76.0,24.0
Day18,84.0,4.0,9.0,6.0,0.0,2.0,2.0,4.0,7.0,3.0,8.0,1.0,3.0,3.0,3.0,2.0,0.0,3.0,55.0,45.0
