,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Day0,65.0,24.0,75.0,9.0,5.0,2.0,77.0,95.0,8.0,2.0,3.0,6.0,3.0,20.0,4.0,4.0,96.0,17.0,67.0,99.0
Day1,77.0,73.0,82.0,6.0,3.0,1.0,85.0,93.0,3.0,2.0,1.0,0.0,0.0,12.0,1.0,3.0,97.0,9.0,75.0,97.0
Day2,20.0,16.0,79.0,9.0,5.0,3.0,81.0,96.0,6.0,2.0,3.0,4.0,4.0,13.0,5.0,2.0,98.0,11.0,62.0,100.0
Day3,67.0,63.0,76.0,59.0,7.0,1.0,77.0,90.0,10.0,3.0,5.0,1.0,2.0,63.0,6.0,5.0,95.0,61.0,72.0,98.0
Day4,80.0,72.0,86.0,65.0,60.0,1.0,87.0,97.0,7.0,6.0,6.0,3.0,3.0,70.0,4.0,1.0,99.0,66.0,69.0,99.0
Day5,78.0,73.0,81.0,64.0,4.0,57.0,84.0,95.0,5.0,4.0,2.0,0.0,3.0,68.0,2.0,2.0,98.0,65.0,71.0,98.0
Day6,30.0,22.0,37.0,15.0,7.0,5.0,87.0,99.0,4.0,4.0,3.0,4.0,4.0,21.0,3.0,0.0,100.0,20.0,78.0,100.0
Day7,23.0,18.0,30.0,10.0,7.0,0.0,34.0,92.0,6.0,1.0,2.0,4.0,4.0,16.0,4.0,6.0,94.0,14.0,71.0,96.0
Day8,28.0,23.0,40.0,13.0,6.0,3.0,44.0,94.0,43.0,3.0,4.0,3.0,6.0,20.0,4.0,3.0,97.0,15.0,68.0,97.0
Day9,76.0,15.0,80.0,9.0,6.0,1.0,84.0,94.0,5.0,56.0,3.0,2.0,4.0,11.0,0.0,4.0,96.0,10.0,61.0,99.0
Day10,28.0,22.0,30.0,13.0,7.0,4.0,35.0,93.0,54.0,5.0,53.0,3.0,5.0,19.0,1.0,2.0,98.0,17.0,69.0,98.0
Day11,22.0,19.0,29.0,9.0,2.0,5.0,34.0,91.0,8.0,1.0,4.0,47.0,1.0,16.0,3.0,2.0,98.0,12.0,71.0,98.0
Day12,74.0,70.0,78.0,65.0,61.0,3.0,80.0,91.0,6.0,1.0,2.0,3.0,57.0,68.0,1.0,3.0,97.0,66.0,68.0,97.0
Day13,72.0,68.0,73.0,13.0,8.0,1.0,78.0,97.0,12.0,2.0,8.0,3.0,4.0,65.0,0.0,2.0,98.0,17.0,77.0,98.0
Day14,22.0,15.0,76.0,9.0,4.0,2.0,82.0,90.0,5.0,5.0,2.0,1.0,3.0,13.0,52.0,5.0,95.0,11.0,76.0,96.0
Day15,30.0,20.0,36.0,12.0,5.0,4.0,39.0,43.0,3.0,5.0,0.0,0.0,1.0,15.0,5.0,54.0,46.0,15.0,86.0,60.0
Day16,34.0,24.0,42.0,14.0,4.0,6.0,46.0,54.0,2.0,6.0,2.0,3.0,2.0,22.0,5.0,8.0,92.0,17.0,75.0,96.0
Day17,78.0,69.0,84.0,14.0,8.0,2.0,89.0,96.0,1.0,6.0,1.0,4.0,3.0,69.0,2.0,2.0,98.0,67.0,74.0,99.0
Day18,78.0,15.0,81.0,7.0,3.0,1.0,83.0,97.0,10.0,5.0,4.0,0.0,3.0,13.0,2.0,2.0,98.0,10.0,66.0,99.0
Day19,83.0,75.0,85.0,13.0,4.0,4.0,88.0,93.0,3.0,5.0,2.0,1.0,0.0,19.0,1.0,4.0,96.0,15.0,61.0,96.0
Day20,25.0,17.0,82.0,4.0,3.0,0.0,85.0,93.0,4.0,4.0,2.0,3.0,0.0,12.0,3.0,3.0,97.0,9.0,70.0,98.0
Day21,69.0,63.0,76.0,54.0,4.0,1.0,81.0,93.0,6.0,3.0,4.0,3.0,0.0,59.0,2.0,4.0,96.0,56.0,74.0,97.0
Day22,73.0,69.0,79.0,62.0,57.0,4.0,82.0,94.0,5.0,3.0,3.0,2.0,2.0,67.0,3.0,3.0,97.0,66.0,75.0,97.0
Day23,70.0,67.0,75.0,56.0,7.0,44.0,78.0,90.0,8.0,1.0,4.0,4.0,5.0,61.0,3.0,8.0,92.0,58.0,73.0,93.0
Day24,30.0,23.0,34.0,14.0,7.0,3.0,84.0,95.0,4.0,5.0,2.0,5.0,3.0,20.0,0.0,1.0,99.0,15.0,71.0,99.0
Day25,33.0,29.0,40.0,19.0,11.0,4.0,46.0,94.0,3.0,1.0,0.0,1.0,6.0,26.0,3.0,3.0,97.0,21.0,71.0,98.0
Day26,31.0,22.0,36.0,15.0,9.0,1.0,40.0,97.0,53.0,5.0,1.0,2.0,4.0,21.0,2.0,3.0,97.0,20.0,65.0,98.0
Day27,72.0,17.0,75.0,8.0,2.0,1.0,77.0,95.0,10.0,53.0,4.0,5.0,1.0,13.0,1.0,2.0,98.0,10.0,71.0,98.0
Day28,24.0,19.0,33.0,10.0,4.0,3.0,36.0,92.0,54.0,4.0,51.0,0.0,2.0,16.0,3.0,2.0,98.0,12.0,73.0,98.0
Day29,27.0,21.0,31.0,12.0,7.0,3.0,33.0,98.0,6.0,2.0,3.0,51.0,5.0,17.0,4.0,1.0,99.0,15.0,68.0,99.0
Day30,82.0,77.0,84.0,64.0,60.0,3.0,86.0,94.0,3.0,2.0,1.0,1.0,59.0,72.0,1.0,1.0,99.0,69.0,71.0,100.0
Day31,74.0,66.0,79.0,11.0,5.0,5.0,82.0,94.0,6.0,4.0,3.0,3.0,1.0,65.0,4.0,3.0,97.0,14.0,80.0,97.0
Day32,23.0,22.0,83.0,17.0,9.0,7.0,85.0,96.0,5.0,1.0,2.0,4.0,6.0,21.0,59.0,2.0,98.0,19.0,66.0,99.0
Day33,18.0,14.0,22.0,10.0,7.0,0.0,24.0,37.0,10.0,1.0,6.0,1.0,2.0,13.0,2.0,57.0,43.0,11.0,88.0,59.0
Day34,20.0,16.0,27.0,9.0,6.0,1.0,29.0,40.0,3.0,1.0,1.0,3.0,4.0,16.0,3.0,3.0,97.0,11.0,78.0,99.0
Day35,75.0,68.0,78.0,9.0,5.0,1.0,81.0,93.0,4.0,4.0,4.0,6.0,4.0,66.0,1.0,4.0,96.0,64.0,67.0,96.0
Day36,78.0,17.0,82.0,11.0,8.0,3.0,85.0,96.0,4.0,1.0,3.0,2.0,3.0,16.0,3.0,3.0,97.0,13.0,65.0,98.0
Day37,70.0,68.0,76.0,14.0,8.0,4.0,77.0,93.0,8.0,0.0,5.0,2.0,2.0,21.0,1.0,3.0,97.0,16.0,69.0,97.0
