,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Day0,65.0,24.0,75.0,9.0,4.0,2.0,78.0,95.0,8.0,2.0,3.0,6.0,3.0,20.0,4.0,4.0,96.0,17.0,99.0,96.0
Day1,76.0,72.0,81.0,5.0,3.0,1.0,84.0,93.0,3.0,2.0,1.0,0.0,0.0,11.0,1.0,3.0,97.0,8.0,98.0,97.0
Day2,21.0,17.0,78.0,10.0,6.0,3.0,80.0,95.0,7.0,2.0,4.0,4.0,4.0,14.0,5.0,3.0,97.0,12.0,98.0,97.0
Day3,68.0,62.0,77.0,58.0,6.0,1.0,78.0,90.0,9.0,4.0,4.0,1.0,2.0,62.0,6.0,5.0,95.0,60.0,96.0,95.0
Day4,81.0,75.0,87.0,68.0,63.0,1.0,88.0,98.0,7.0,5.0,6.0,3.0,3.0,73.0,4.0,0.0,100.0,69.0,97.0,100.0
Day5,78.0,72.0,81.0,63.0,4.0,56.0,84.0,95.0,5.0,4.0,2.0,0.0,3.0,67.0,2.0,2.0,98.0,64.0,99.0,98.0
Day6,29.0,22.0,36.0,15.0,7.0,5.0,86.0,99.0,4.0,4.0,3.0,5.0,4.0,21.0,3.0,0.0,100.0,20.0,97.0,100.0
Day7,25.0,19.0,32.0,10.0,7.0,0.0,35.0,91.0,6.0,2.0,2.0,3.0,4.0,16.0,4.0,6.0,94.0,14.0,100.0,94.0
Day8,26.0,22.0,38.0,13.0,6.0,3.0,42.0,95.0,46.0,2.0,4.0,3.0,6.0,20.0,4.0,3.0,97.0,15.0,99.0,97.0
Day9,76.0,15.0,80.0,9.0,6.0,1.0,84.0,94.0,5.0,56.0,3.0,2.0,4.0,11.0,0.0,4.0,96.0,10.0,99.0,97.0
Day10,29.0,22.0,31.0,13.0,7.0,4.0,36.0,93.0,53.0,6.0,52.0,3.0,5.0,19.0,1.0,2.0,98.0,17.0,100.0,98.0
Day11,21.0,19.0,28.0,9.0,2.0,5.0,33.0,90.0,8.0,0.0,4.0,47.0,1.0,16.0,3.0,2.0,98.0,12.0,97.0,98.0
Day12,75.0,71.0,79.0,66.0,60.0,3.0,81.0,92.0,6.0,1.0,2.0,3.0,55.0,69.0,1.0,3.0,97.0,67.0,100.0,97.0
Day13,71.0,66.0,72.0,10.0,7.0,1.0,77.0,97.0,12.0,3.0,8.0,3.0,4.0,63.0,0.0,2.0,98.0,15.0,99.0,98.0
Day14,21.0,15.0,77.0,10.0,4.0,2.0,83.0,90.0,5.0,4.0,2.0,1.0,3.0,13.0,54.0,5.0,95.0,11.0,100.0,95.0
Day15,30.0,20.0,35.0,12.0,5.0,5.0,38.0,43.0,3.0,5.0,0.0,0.0,1.0,15.0,4.0,54.0,46.0,15.0,99.0,48.0
Day16,33.0,23.0,41.0,13.0,4.0,5.0,45.0,53.0,2.0,6.0,2.0,4.0,2.0,21.0,5.0,7.0,93.0,16.0,99.0,93.0
Day17,79.0,69.0,85.0,14.0,8.0,2.0,90.0,96.0,1.0,7.0,1.0,3.0,3.0,69.0,2.0,2.0,98.0,67.0,96.0,98.0
Day18,77.0,16.0,80.0,7.0,3.0,1.0,83.0,97.0,10.0,4.0,4.0,0.0,3.0,13.0,2.0,2.0,98.0,10.0,99.0,98.0
Day19,82.0,74.0,86.0,13.0,4.0,4.0,88.0,93.0,3.0,5.0,2.0,1.0,0.0,19.0,2.0,4.0,96.0,14.0,99.0,96.0
Day20,25.0,17.0,80.0,4.0,3.0,0.0,84.0,93.0,5.0,4.0,2.0,3.0,0.0,12.0,2.0,3.0,97.0,10.0,96.0,97.0
Day21,71.0,65.0,78.0,57.0,5.0,1.0,82.0,93.0,5.0,3.0,4.0,3.0,0.0,61.0,2.0,4.0,96.0,58.0,99.0,96.0
Day22,73.0,69.0,79.0,61.0,56.0,4.0,82.0,94.0,5.0,3.0,3.0,2.0,3.0,67.0,3.0,3.0,97.0,65.0,99.0,97.0
Day23,69.0,66.0,75.0,55.0,6.0,43.0,78.0,90.0,8.0,1.0,4.0,4.0,4.0,60.0,3.0,8.0,92.0,57.0,97.0,92.0
Day24,29.0,22.0,33.0,13.0,7.0,3.0,84.0,95.0,4.0,5.0,2.0,5.0,3.0,19.0,1.0,1.0,99.0,15.0,97.0,99.0
Day25,33.0,28.0,39.0,19.0,11.0,4.0,45.0,94.0,3.0,2.0,0.0,1.0,6.0,25.0,2.0,3.0,97.0,20.0,99.0,97.0
Day26,31.0,23.0,36.0,15.0,9.0,1.0,40.0,97.0,53.0,4.0,1.0,2.0,4.0,22.0,2.0,3.0,97.0,20.0,99.0,97.0
Day27,72.0,16.0,75.0,8.0,2.0,1.0,77.0,95.0,10.0,54.0,4.0,5.0,1.0,12.0,1.0,2.0,98.0,10.0,98.0,98.0
Day28,25.0,20.0,34.0,10.0,4.0,3.0,37.0,92.0,53.0,4.0,50.0,0.0,2.0,16.0,3.0,2.0,98.0,12.0,99.0,98.0
Day29,27.0,21.0,31.0,13.0,7.0,4.0,33.0,98.0,6.0,2.0,3.0,51.0,5.0,18.0,4.0,1.0,99.0,16.0,98.0,99.0
Day30,82.0,77.0,84.0,64.0,61.0,2.0,86.0,94.0,3.0,2.0,1.0,1.0,59.0,72.0,1.0,1.0,99.0,69.0,100.0,99.0
Day31,73.0,65.0,78.0,10.0,4.0,5.0,81.0,93.0,6.0,4.0,3.0,3.0,1.0,64.0,4.0,4.0,96.0,13.0,99.0,96.0
Day32,23.0,22.0,83.0,17.0,9.0,7.0,85.0,96.0,5.0,1.0,2.0,4.0,6.0,21.0,59.0,1.0,99.0,19.0,96.0,99.0
Day33,18.0,14.0,22.0,10.0,7.0,0.0,25.0,38.0,10.0,1.0,6.0,1.0,2.0,13.0,2.0,57.0,43.0,11.0,99.0,44.0
Day34,20.0,16.0,28.0,9.0,6.0,1.0,30.0,41.0,3.0,1.0,1.0,3.0,4.0,16.0,4.0,3.0,97.0,11.0,97.0,97.0
Day35,77.0,70.0,79.0,9.0,5.0,1.0,81.0,93.0,4.0,4.0,4.0,6.0,4.0,68.0,0.0,4.0,96.0,66.0,95.0,96.0
