,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Day0,91.0,69.0,100.0,47.0,16.0,23.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,100.0,47.0,99.0,100.0
Day1,81.0,71.0,100.0,57.0,12.0,21.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,100.0,57.0,98.0,100.0
Day2,79.0,61.0,100.0,51.0,14.0,20.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,100.0,51.0,98.0,100.0
Day3,87.0,64.0,100.0,49.0,23.0,15.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,100.0,49.0,98.0,100.0
Day4,84.0,65.0,100.0,50.0,11.0,19.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,100.0,50.0,98.0,100.0
Day5,80.0,66.0,100.0,50.0,16.0,19.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,100.0,50.0,98.0,100.0
Day6,83.0,71.0,100.0,52.0,22.0,13.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,100.0,52.0,98.0,100.0
Day7,84.0,66.0,100.0,47.0,17.0,14.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,100.0,47.0,95.0,100.0
Day8,81.0,66.0,100.0,57.0,20.0,18.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,100.0,57.0,96.0,100.0
Day9,87.0,70.0,100.0,49.0,15.0,15.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,100.0,49.0,96.0,100.0
Day10,80.0,61.0,100.0,40.0,13.0,15.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,100.0,40.0,98.0,100.0
Day11,85.0,66.0,100.0,43.0,18.0,12.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,100.0,43.0,99.0,100.0
Day12,79.0,66.0,100.0,54.0,11.0,24.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,100.0,54.0,96.0,100.0
Day13,90.0,73.0,100.0,56.0,21.0,17.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,100.0,56.0,99.0,100.0
Day14,86.0,73.0,100.0,54.0,19.0,21.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,100.0,54.0,100.0,100.0
Day15,79.0,72.0,100.0,61.0,16.0,15.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,100.0,61.0,99.0,100.0
Day16,81.0,60.0,100.0,44.0,16.0,16.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,100.0,44.0,100.0,100.0
Day17,79.0,64.0,100.0,46.0,18.0,16.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,100.0,46.0,99.0,100.0
Day18,87.0,69.0,100.0,53.0,19.0,16.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,100.0,53.0,99.0,100.0
Day19,82.0,67.0,100.0,48.0,20.0,14.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,100.0,48.0,100.0,100.0
Day20,81.0,58.0,100.0,52.0,14.0,18.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,100.0,52.0,100.0,100.0
Day21,84.0,73.0,100.0,54.0,12.0,21.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,100.0,54.0,97.0,100.0
Day22,81.0,64.0,100.0,49.0,17.0,16.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,100.0,49.0,98.0,100.0
Day23,90.0,78.0,100.0,62.0,16.0,18.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,100.0,62.0,100.0,100.0
Day24,75.0,58.0,100.0,43.0,15.0,13.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,100.0,43.0,99.0,100.0
Day25,86.0,66.0,100.0,51.0,16.0,18.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,100.0,51.0,99.0,100.0
Day26,85.0,61.0,100.0,43.0,9.0,20.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,100.0,43.0,98.0,100.0
Day27,85.0,64.0,100.0,49.0,14.0,18.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,100.0,49.0,98.0,100.0
Day28,80.0,70.0,100.0,51.0,13.0,13.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,100.0,51.0,100.0,100.0
Day29,85.0,65.0,100.0,48.0,10.0,25.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,100.0,48.0,98.0,100.0
Day30,86.0,69.0,100.0,51.0,8.0,27.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,100.0,51.0,97.0,100.0
Day31,87.0,70.0,100.0,55.0,16.0,21.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,100.0,55.0,99.0,100.0
Day32,85.0,70.0,100.0,42.0,12.0,17.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,100.0,42.0,97.0,100.0
Day33,84.0,65.0,100.0,47.0,14.0,19.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,100.0,47.0,98.0,100.0
Day34,85.0,61.0,100.0,48.0,13.0,17.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,100.0,48.0,98.0,100.0
Day35,79.0,67.0,100.0,48.0,13.0,14.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,100.0,48.0,98.0,100.0
