,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Day0,65.0,24.0,75.0,9.0,4.0,2.0,78.0,95.0,8.0,2.0,3.0,6.0,3.0,20.0,4.0,4.0,96.0,17.0,38.0,100.0
Day1,76.0,12.0,81.0,5.0,3.0,1.0,84.0,93.0,3.0,2.0,1.0,0.0,0.0,11.0,1.0,3.0,97.0,8.0,35.0,98.0
Day2,68.0,17.0,78.0,10.0,6.0,3.0,80.0,95.0,7.0,2.0,4.0,4.0,4.0,14.0,5.0,3.0,97.0,12.0,29.0,100.0
Day3,68.0,14.0,77.0,10.0,6.0,1.0,78.0,90.0,9.0,4.0,4.0,1.0,2.0,14.0,6.0,5.0,95.0,12.0,33.0,100.0
Day4,81.0,22.0,87.0,15.0,10.0,1.0,88.0,98.0,7.0,5.0,6.0,3.0,3.0,20.0,4.0,0.0,100.0,16.0,25.0,100.0
Day5,78.0,17.0,81.0,8.0,4.0,1.0,84.0,95.0,5.0,4.0,2.0,0.0,3.0,12.0,2.0,2.0,98.0,9.0,28.0,99.0
Day6,76.0,22.0,83.0,15.0,7.0,5.0,86.0,99.0,4.0,4.0,3.0,5.0,4.0,21.0,3.0,0.0,100.0,20.0,34.0,100.0
Day7,67.0,19.0,74.0,10.0,7.0,0.0,77.0,91.0,6.0,2.0,2.0,3.0,4.0,16.0,4.0,6.0,94.0,14.0,33.0,98.0
Day8,65.0,22.0,77.0,13.0,6.0,3.0,81.0,95.0,7.0,2.0,4.0,3.0,6.0,20.0,4.0,3.0,97.0,15.0,35.0,98.0
Day9,76.0,15.0,80.0,9.0,6.0,1.0,84.0,94.0,5.0,2.0,3.0,2.0,4.0,11.0,0.0,4.0,96.0,10.0,27.0,100.0
Day10,75.0,22.0,77.0,13.0,7.0,4.0,82.0,93.0,7.0,6.0,6.0,3.0,5.0,19.0,1.0,2.0,98.0,17.0,22.0,99.0
Day11,65.0,19.0,72.0,9.0,2.0,5.0,77.0,90.0,8.0,0.0,4.0,3.0,1.0,16.0,3.0,2.0,98.0,12.0,29.0,99.0
Day12,75.0,18.0,79.0,13.0,7.0,3.0,81.0,92.0,6.0,1.0,2.0,3.0,2.0,16.0,1.0,3.0,97.0,14.0,31.0,99.0
Day13,71.0,21.0,72.0,10.0,7.0,1.0,77.0,97.0,12.0,3.0,8.0,3.0,4.0,18.0,0.0,2.0,98.0,15.0,29.0,99.0
Day14,70.0,15.0,77.0,10.0,4.0,2.0,83.0,90.0,5.0,4.0,2.0,1.0,3.0,13.0,5.0,5.0,95.0,11.0,27.0,98.0
Day15,76.0,20.0,81.0,12.0,5.0,5.0,84.0,89.0,3.0,5.0,0.0,0.0,1.0,15.0,4.0,8.0,92.0,15.0,28.0,99.0
Day16,71.0,23.0,79.0,13.0,4.0,5.0,83.0,91.0,2.0,6.0,2.0,4.0,2.0,21.0,5.0,7.0,93.0,16.0,33.0,100.0
Day17,79.0,20.0,85.0,14.0,8.0,2.0,90.0,96.0,1.0,7.0,1.0,3.0,3.0,20.0,2.0,2.0,98.0,18.0,26.0,100.0
Day18,77.0,16.0,80.0,7.0,3.0,1.0,83.0,97.0,10.0,4.0,4.0,0.0,3.0,13.0,2.0,2.0,98.0,10.0,32.0,100.0
Day19,82.0,22.0,86.0,13.0,4.0,4.0,88.0,93.0,3.0,5.0,2.0,1.0,0.0,19.0,2.0,4.0,96.0,14.0,22.0,99.0
Day20,77.0,17.0,80.0,4.0,3.0,0.0,84.0,93.0,5.0,4.0,2.0,3.0,0.0,12.0,2.0,3.0,97.0,10.0,30.0,99.0
Day21,71.0,17.0,78.0,9.0,5.0,1.0,82.0,93.0,5.0,3.0,4.0,3.0,0.0,13.0,2.0,4.0,96.0,10.0,34.0,98.0
Day22,73.0,19.0,79.0,11.0,6.0,4.0,82.0,94.0,5.0,3.0,3.0,2.0,3.0,17.0,3.0,3.0,97.0,15.0,41.0,97.0
Day23,69.0,23.0,75.0,12.0,6.0,0.0,78.0,90.0,8.0,1.0,4.0,4.0,4.0,17.0,3.0,8.0,92.0,14.0,37.0,96.0
Day24,78.0,22.0,82.0,13.0,7.0,3.0,84.0,95.0,4.0,5.0,2.0,5.0,3.0,19.0,1.0,1.0,99.0,15.0,35.0,100.0
Day25,77.0,28.0,83.0,19.0,11.0,4.0,89.0,94.0,3.0,2.0,0.0,1.0,6.0,25.0,2.0,3.0,97.0,20.0,37.0,98.0
Day26,83.0,23.0,88.0,15.0,9.0,1.0,92.0,97.0,1.0,4.0,1.0,2.0,4.0,22.0,2.0,3.0,97.0,20.0,34.0,98.0
Day27,72.0,16.0,75.0,8.0,2.0,1.0,77.0,95.0,10.0,1.0,4.0,5.0,1.0,12.0,1.0,2.0,98.0,10.0,40.0,100.0
Day28,75.0,20.0,84.0,10.0,4.0,3.0,87.0,92.0,3.0,4.0,0.0,0.0,2.0,16.0,3.0,2.0,98.0,12.0,28.0,100.0
Day29,75.0,21.0,79.0,13.0,7.0,4.0,81.0,98.0,6.0,2.0,3.0,3.0,5.0,18.0,4.0,1.0,99.0,16.0,32.0,100.0
Day30,82.0,20.0,84.0,7.0,4.0,2.0,86.0,94.0,3.0,2.0,1.0,1.0,2.0,15.0,1.0,1.0,99.0,12.0,34.0,100.0
Day31,73.0,15.0,78.0,10.0,4.0,5.0,81.0,93.0,6.0,4.0,3.0,3.0,1.0,14.0,4.0,4.0,96.0,13.0,31.0,97.0
Day32,79.0,22.0,83.0,17.0,9.0,7.0,85.0,96.0,5.0,1.0,2.0,4.0,6.0,21.0,3.0,1.0,99.0,19.0,21.0,100.0
Day33,74.0,14.0,78.0,10.0,7.0,0.0,81.0,94.0,10.0,1.0,6.0,1.0,2.0,13.0,2.0,1.0,99.0,11.0,29.0,99.0
Day34,75.0,16.0,83.0,9.0,6.0,1.0,85.0,96.0,3.0,1.0,1.0,3.0,4.0,16.0,4.0,3.0,97.0,11.0,38.0,100.0
Day35,77.0,15.0,79.0,9.0,5.0,1.0,81.0,93.0,4.0,4.0,4.0,6.0,4.0,13.0,0.0,4.0,96.0,11.0,34.0,96.0
