,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Day0,39.0,62.0,60.0,11.0,59.0,2.0,3.0,3.0,5.0,55.0,3.0,9.0,55.0,54.0,67.0,4.0,8.0,8.0,54.0,76.0
Day1,2.0,79.0,47.0,14.0,53.0,1.0,3.0,6.0,2.0,59.0,1.0,1.0,58.0,59.0,63.0,3.0,13.0,3.0,58.0,47.0
Day2,2.0,48.0,81.0,10.0,44.0,3.0,2.0,4.0,3.0,43.0,4.0,8.0,43.0,41.0,53.0,3.0,9.0,2.0,41.0,63.0
Day3,2.0,57.0,55.0,63.0,58.0,1.0,1.0,2.0,5.0,55.0,4.0,5.0,56.0,57.0,93.0,5.0,12.0,2.0,52.0,53.0
Day4,1.0,60.0,58.0,6.0,85.0,1.0,1.0,0.0,1.0,45.0,6.0,9.0,43.0,44.0,56.0,0.0,2.0,1.0,43.0,58.0
Day5,2.0,49.0,74.0,14.0,48.0,56.0,3.0,6.0,3.0,51.0,2.0,2.0,51.0,54.0,60.0,2.0,11.0,1.0,50.0,52.0
Day6,3.0,57.0,59.0,8.0,58.0,5.0,50.0,4.0,1.0,61.0,3.0,8.0,61.0,59.0,67.0,0.0,5.0,5.0,59.0,76.0
Day7,4.0,58.0,56.0,59.0,56.0,0.0,3.0,47.0,4.0,47.0,2.0,5.0,48.0,48.0,85.0,6.0,56.0,4.0,46.0,60.0
Day8,2.0,75.0,60.0,13.0,52.0,3.0,4.0,4.0,42.0,51.0,4.0,7.0,55.0,56.0,65.0,3.0,9.0,2.0,49.0,57.0
Day9,5.0,55.0,59.0,11.0,50.0,1.0,4.0,3.0,2.0,70.0,3.0,5.0,47.0,47.0,56.0,4.0,9.0,1.0,40.0,64.0
Day10,1.0,48.0,50.0,10.0,46.0,4.0,5.0,1.0,1.0,50.0,52.0,55.0,50.0,49.0,80.0,2.0,8.0,4.0,46.0,56.0
Day11,2.0,56.0,57.0,14.0,53.0,5.0,5.0,2.0,4.0,48.0,4.0,51.0,48.0,51.0,86.0,2.0,12.0,3.0,48.0,57.0
Day12,3.0,48.0,49.0,13.0,49.0,3.0,2.0,2.0,4.0,51.0,2.0,5.0,76.0,48.0,57.0,3.0,10.0,1.0,51.0,51.0
Day13,2.0,59.0,58.0,10.0,56.0,1.0,5.0,5.0,4.0,43.0,8.0,11.0,46.0,74.0,65.0,2.0,8.0,5.0,41.0,64.0
Day14,2.0,54.0,52.0,15.0,54.0,2.0,6.0,1.0,3.0,54.0,2.0,3.0,55.0,55.0,90.0,5.0,11.0,1.0,51.0,54.0
Day15,5.0,56.0,56.0,61.0,53.0,5.0,3.0,2.0,3.0,45.0,0.0,0.0,43.0,42.0,79.0,54.0,59.0,3.0,42.0,61.0
Day16,4.0,45.0,48.0,53.0,45.0,5.0,4.0,2.0,0.0,61.0,2.0,6.0,58.0,60.0,83.0,7.0,49.0,3.0,59.0,48.0
Day17,3.0,56.0,59.0,10.0,57.0,2.0,5.0,2.0,0.0,51.0,1.0,4.0,46.0,45.0,57.0,2.0,6.0,53.0,49.0,84.0
Day18,57.0,51.0,50.0,10.0,44.0,1.0,3.0,4.0,6.0,44.0,4.0,4.0,44.0,43.0,50.0,2.0,7.0,3.0,42.0,85.0
Day19,3.0,79.0,62.0,13.0,44.0,4.0,2.0,1.0,1.0,46.0,2.0,3.0,46.0,49.0,53.0,4.0,8.0,1.0,41.0,62.0
Day20,4.0,50.0,77.0,9.0,47.0,0.0,4.0,1.0,3.0,46.0,2.0,5.0,45.0,46.0,53.0,3.0,8.0,6.0,43.0,63.0
Day21,3.0,51.0,50.0,61.0,50.0,1.0,4.0,3.0,1.0,57.0,4.0,7.0,55.0,57.0,86.0,4.0,10.0,1.0,56.0,49.0
Day22,1.0,40.0,41.0,12.0,75.0,4.0,3.0,5.0,2.0,65.0,3.0,5.0,66.0,66.0,72.0,3.0,11.0,4.0,63.0,41.0
Day23,2.0,54.0,72.0,16.0,53.0,43.0,3.0,0.0,4.0,50.0,4.0,8.0,51.0,51.0,65.0,8.0,10.0,2.0,50.0,54.0
Day24,2.0,60.0,60.0,10.0,59.0,3.0,51.0,2.0,2.0,56.0,2.0,7.0,54.0,54.0,63.0,1.0,7.0,2.0,54.0,79.0
Day25,3.0,47.0,47.0,55.0,46.0,4.0,6.0,45.0,3.0,57.0,0.0,1.0,57.0,55.0,77.0,3.0,51.0,1.0,57.0,47.0
Day26,4.0,75.0,49.0,10.0,52.0,1.0,4.0,2.0,52.0,54.0,1.0,3.0,55.0,53.0,58.0,3.0,5.0,5.0,51.0,54.0
Day27,2.0,56.0,50.0,13.0,53.0,1.0,2.0,3.0,6.0,78.0,4.0,9.0,50.0,52.0,64.0,2.0,8.0,2.0,53.0,50.0
Day28,1.0,55.0,55.0,13.0,52.0,3.0,3.0,2.0,3.0,53.0,50.0,50.0,51.0,53.0,84.0,2.0,10.0,2.0,52.0,52.0
Day29,4.0,57.0,57.0,12.0,54.0,4.0,2.0,8.0,3.0,53.0,3.0,54.0,55.0,55.0,89.0,1.0,10.0,3.0,52.0,56.0
Day30,3.0,52.0,50.0,11.0,49.0,2.0,2.0,4.0,2.0,55.0,1.0,2.0,81.0,51.0,56.0,1.0,10.0,5.0,55.0,51.0
Day31,4.0,53.0,54.0,11.0,52.0,5.0,3.0,3.0,3.0,56.0,3.0,6.0,55.0,79.0,62.0,4.0,10.0,3.0,54.0,53.0
Day32,0.0,59.0,62.0,7.0,57.0,7.0,2.0,2.0,3.0,40.0,2.0,6.0,43.0,43.0,85.0,1.0,6.0,2.0,40.0,61.0
Day33,3.0,55.0,55.0,67.0,54.0,0.0,3.0,2.0,4.0,48.0,6.0,7.0,50.0,51.0,89.0,57.0,64.0,1.0,47.0,57.0
Day34,3.0,46.0,49.0,66.0,45.0,1.0,2.0,5.0,2.0,55.0,1.0,4.0,55.0,55.0,85.0,3.0,64.0,2.0,55.0,50.0
Day35,3.0,47.0,48.0,12.0,46.0,1.0,2.0,2.0,0.0,55.0,4.0,10.0,55.0,53.0,60.0,4.0,9.0,57.0,52.0,78.0
Day36,58.0,43.0,45.0,10.0,43.0,3.0,3.0,6.0,1.0,42.0,3.0,5.0,43.0,43.0,50.0,3.0,10.0,2.0,41.0,82.0
Day37,1.0,77.0,53.0,14.0,52.0,4.0,1.0,5.0,3.0,51.0,5.0,7.0,51.0,52.0,60.0,3.0,12.0,2.0,51.0,50.0
Day38,3.0,65.0,75.0,13.0,62.0,2.0,6.0,3.0,6.0,60.0,3.0,4.0,56.0,58.0,69.0,5.0,10.0,0.0,58.0,47.0
Day39,0.0,57.0,58.0,60.0,53.0,2.0,2.0,7.0,5.0,47.0,2.0,5.0,48.0,46.0,81.0,2.0,10.0,4.0,46.0,58.0
Day40,4.0,61.0,62.0,9.0,76.0,3.0,1.0,2.0,2.0,42.0,2.0,2.0,44.0,46.0,52.0,3.0,6.0,2.0,40.0,63.0
Day41,1.0,57.0,74.0,22.0,53.0,45.0,1.0,4.0,4.0,51.0,4.0,6.0,51.0,49.0,65.0,7.0,18.0,3.0,49.0,51.0
Day42,4.0,59.0,58.0,16.0,58.0,1.0,43.0,2.0,3.0,52.0,4.0,6.0,54.0,55.0,68.0,5.0,11.0,4.0,52.0,77.0
Day43,3.0,53.0,54.0,68.0,51.0,3.0,2.0,55.0,1.0,45.0,2.0,5.0,45.0,46.0,84.0,2.0,64.0,3.0,45.0,58.0
Day44,1.0,78.0,59.0,7.0,51.0,3.0,3.0,3.0,51.0,45.0,6.0,10.0,46.0,45.0,59.0,1.0,6.0,5.0,45.0,60.0
