,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Day0,29.0,38.0,38.0,60.0,6.0,73.0,28.0,13.0,7.0,10.0,4.0,5.0,8.0,7.0,22.0,15.0,33.0,11.0,8.0,11.0
Day1,33.0,39.0,40.0,71.0,7.0,82.0,34.0,13.0,9.0,6.0,5.0,7.0,10.0,8.0,24.0,29.0,28.0,6.0,4.0,9.0
Day2,36.0,37.0,41.0,67.0,11.0,78.0,29.0,18.0,5.0,4.0,7.0,10.0,9.0,4.0,24.0,25.0,22.0,10.0,9.0,10.0
Day3,28.0,40.0,40.0,59.0,9.0,71.0,32.0,13.0,6.0,5.0,5.0,5.0,5.0,17.0,19.0,26.0,24.0,6.0,14.0,11.0
Day4,37.0,35.0,40.0,67.0,5.0,80.0,23.0,14.0,9.0,5.0,8.0,5.0,8.0,5.0,20.0,23.0,24.0,6.0,10.0,17.0
Day5,34.0,31.0,36.0,57.0,3.0,78.0,26.0,19.0,5.0,12.0,9.0,3.0,12.0,7.0,18.0,27.0,29.0,9.0,9.0,8.0
Day6,38.0,40.0,44.0,67.0,6.0,77.0,27.0,15.0,8.0,5.0,8.0,8.0,8.0,8.0,21.0,27.0,25.0,6.0,10.0,11.0
Day7,35.0,34.0,42.0,69.0,14.0,75.0,30.0,11.0,9.0,7.0,5.0,7.0,4.0,11.0,23.0,22.0,28.0,4.0,9.0,14.0
Day8,36.0,37.0,45.0,63.0,5.0,73.0,32.0,19.0,5.0,5.0,6.0,8.0,9.0,7.0,27.0,18.0,29.0,11.0,10.0,5.0
Day9,40.0,33.0,47.0,66.0,5.0,73.0,26.0,12.0,12.0,7.0,7.0,6.0,4.0,7.0,22.0,26.0,20.0,8.0,11.0,13.0
Day10,34.0,36.0,39.0,60.0,6.0,79.0,27.0,17.0,4.0,11.0,7.0,8.0,6.0,7.0,18.0,26.0,30.0,5.0,10.0,11.0
Day11,35.0,42.0,37.0,69.0,7.0,81.0,30.0,17.0,7.0,4.0,10.0,5.0,8.0,7.0,19.0,27.0,23.0,18.0,6.0,7.0
Day12,40.0,30.0,42.0,58.0,4.0,73.0,23.0,13.0,5.0,13.0,5.0,3.0,6.0,6.0,19.0,27.0,17.0,18.0,12.0,7.0
Day13,44.0,38.0,43.0,76.0,6.0,78.0,33.0,14.0,8.0,6.0,7.0,8.0,9.0,3.0,22.0,25.0,23.0,8.0,11.0,11.0
Day14,37.0,36.0,53.0,63.0,9.0,70.0,35.0,14.0,6.0,5.0,9.0,8.0,6.0,12.0,25.0,18.0,22.0,9.0,14.0,12.0
Day15,35.0,39.0,39.0,66.0,7.0,78.0,27.0,21.0,8.0,5.0,6.0,9.0,5.0,9.0,20.0,23.0,29.0,12.0,8.0,8.0
Day16,40.0,35.0,36.0,73.0,9.0,79.0,31.0,12.0,10.0,9.0,9.0,10.0,7.0,9.0,18.0,16.0,37.0,10.0,8.0,11.0
Day17,39.0,30.0,44.0,62.0,3.0,75.0,25.0,19.0,9.0,10.0,8.0,6.0,4.0,11.0,29.0,26.0,21.0,6.0,4.0,14.0
Day18,34.0,37.0,43.0,65.0,8.0,74.0,32.0,13.0,8.0,9.0,5.0,8.0,11.0,6.0,24.0,23.0,25.0,7.0,9.0,12.0
Day19,42.0,28.0,48.0,63.0,12.0,68.0,22.0,14.0,7.0,8.0,6.0,3.0,11.0,4.0,29.0,25.0,21.0,6.0,10.0,9.0
Day20,39.0,33.0,51.0,59.0,1.0,71.0,28.0,15.0,11.0,8.0,7.0,8.0,3.0,9.0,26.0,19.0,26.0,9.0,12.0,8.0
Day21,30.0,40.0,39.0,65.0,10.0,71.0,37.0,11.0,7.0,9.0,5.0,17.0,5.0,10.0,23.0,18.0,28.0,11.0,10.0,10.0
Day22,37.0,29.0,42.0,61.0,8.0,77.0,26.0,22.0,4.0,7.0,12.0,9.0,6.0,8.0,29.0,21.0,27.0,9.0,7.0,7.0
Day23,37.0,37.0,41.0,61.0,4.0,76.0,27.0,17.0,8.0,13.0,7.0,6.0,7.0,9.0,18.0,26.0,28.0,4.0,12.0,12.0
Day24,33.0,38.0,28.0,63.0,4.0,83.0,26.0,21.0,1.0,5.0,11.0,5.0,10.0,5.0,16.0,23.0,29.0,15.0,9.0,8.0
Day25,39.0,30.0,41.0,64.0,2.0,80.0,28.0,19.0,10.0,4.0,7.0,9.0,5.0,5.0,20.0,26.0,21.0,15.0,6.0,12.0
Day26,25.0,41.0,42.0,55.0,6.0,70.0,35.0,15.0,8.0,5.0,8.0,9.0,9.0,11.0,28.0,25.0,21.0,7.0,8.0,11.0
Day27,34.0,40.0,41.0,65.0,3.0,76.0,27.0,13.0,6.0,7.0,5.0,6.0,7.0,4.0,26.0,27.0,21.0,11.0,7.0,8.0
Day28,34.0,38.0,42.0,60.0,7.0,73.0,35.0,16.0,6.0,10.0,8.0,5.0,8.0,11.0,22.0,23.0,21.0,10.0,11.0,13.0
Day29,35.0,36.0,43.0,62.0,8.0,70.0,27.0,12.0,6.0,7.0,7.0,8.0,7.0,6.0,22.0,31.0,18.0,8.0,10.0,11.0
