,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Day0,48.0,4.0,66.0,31.0,2.0,45.0,14.0,8.0,5.0,2.0,3.0,6.0,3.0,3.0,4.0,4.0,1.0,8.0,64.0,36.0
Day1,8.0,61.0,76.0,31.0,3.0,34.0,6.0,6.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,3.0,4.0,3.0,75.0,25.0
Day2,14.0,3.0,82.0,32.0,1.0,45.0,12.0,11.0,3.0,2.0,3.0,4.0,4.0,2.0,5.0,2.0,2.0,2.0,60.0,40.0
Day3,9.0,0.0,71.0,66.0,5.0,40.0,6.0,7.0,5.0,3.0,5.0,1.0,2.0,2.0,6.0,5.0,5.0,2.0,69.0,31.0
Day4,17.0,2.0,72.0,34.0,57.0,36.0,11.0,6.0,1.0,6.0,6.0,3.0,3.0,4.0,4.0,1.0,2.0,1.0,69.0,31.0
Day5,8.0,5.0,73.0,50.0,1.0,73.0,9.0,8.0,3.0,4.0,2.0,0.0,3.0,3.0,2.0,2.0,3.0,1.0,71.0,29.0
Day6,55.0,1.0,80.0,17.0,3.0,30.0,59.0,7.0,1.0,4.0,3.0,4.0,4.0,1.0,3.0,0.0,1.0,5.0,78.0,22.0
Day7,13.0,2.0,70.0,17.0,3.0,40.0,14.0,51.0,4.0,1.0,2.0,4.0,4.0,2.0,4.0,6.0,2.0,4.0,69.0,31.0
Day8,14.0,3.0,70.0,18.0,0.0,41.0,18.0,21.0,39.0,3.0,4.0,3.0,6.0,5.0,4.0,3.0,3.0,2.0,68.0,32.0
Day9,67.0,4.0,61.0,32.0,2.0,44.0,11.0,6.0,2.0,56.0,3.0,2.0,4.0,1.0,0.0,4.0,2.0,1.0,58.0,42.0
Day10,17.0,3.0,69.0,17.0,2.0,41.0,15.0,54.0,1.0,5.0,53.0,3.0,5.0,2.0,1.0,2.0,5.0,4.0,69.0,31.0
Day11,44.0,3.0,73.0,22.0,1.0,44.0,57.0,8.0,4.0,1.0,4.0,47.0,1.0,4.0,3.0,2.0,7.0,3.0,71.0,29.0
Day12,47.0,2.0,70.0,14.0,4.0,41.0,64.0,6.0,4.0,1.0,2.0,3.0,57.0,2.0,1.0,3.0,6.0,1.0,68.0,32.0
Day13,51.0,3.0,77.0,12.0,4.0,29.0,60.0,14.0,4.0,2.0,8.0,3.0,4.0,48.0,0.0,2.0,1.0,4.0,77.0,23.0
Day14,17.0,2.0,91.0,33.0,1.0,37.0,12.0,5.0,3.0,5.0,2.0,1.0,3.0,2.0,52.0,5.0,5.0,2.0,75.0,25.0
Day15,13.0,5.0,74.0,55.0,4.0,74.0,4.0,2.0,3.0,5.0,0.0,0.0,1.0,0.0,5.0,54.0,3.0,3.0,72.0,28.0
Day16,19.0,2.0,71.0,44.0,2.0,66.0,14.0,5.0,0.0,6.0,2.0,3.0,2.0,5.0,5.0,8.0,38.0,3.0,71.0,29.0
Day17,20.0,0.0,76.0,60.0,5.0,75.0,14.0,3.0,0.0,6.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,53.0,73.0,27.0
Day18,69.0,2.0,67.0,33.0,0.0,40.0,8.0,10.0,6.0,5.0,4.0,0.0,3.0,3.0,2.0,2.0,1.0,3.0,65.0,35.0
Day19,13.0,56.0,61.0,43.0,4.0,49.0,8.0,3.0,1.0,5.0,2.0,1.0,0.0,4.0,1.0,4.0,3.0,2.0,61.0,39.0
Day20,16.0,5.0,85.0,33.0,3.0,39.0,9.0,3.0,2.0,4.0,2.0,3.0,0.0,3.0,3.0,3.0,4.0,5.0,69.0,31.0
Day21,14.0,4.0,76.0,63.0,4.0,34.0,11.0,8.0,2.0,3.0,4.0,3.0,0.0,3.0,2.0,4.0,3.0,2.0,73.0,27.0
Day22,10.0,2.0,76.0,25.0,55.0,35.0,8.0,9.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,4.0,75.0,25.0
