,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Day0,65.0,16.0,45.0,63.0,1.0,74.0,12.0,5.0,5.0,2.0,2.0,5.0,3.0,2.0,3.0,4.0,1.0,7.0,34.0,66.0
Day1,85.0,7.0,42.0,73.0,3.0,77.0,6.0,7.0,3.0,2.0,1.0,0.0,0.0,3.0,1.0,3.0,4.0,3.0,34.0,66.0
Day2,64.0,15.0,35.0,64.0,2.0,78.0,12.0,8.0,2.0,2.0,4.0,4.0,4.0,2.0,6.0,3.0,2.0,2.0,26.0,74.0
Day3,71.0,6.0,36.0,67.0,4.0,77.0,6.0,6.0,5.0,4.0,4.0,1.0,2.0,2.0,5.0,5.0,5.0,2.0,29.0,71.0
Day4,73.0,13.0,31.0,76.0,7.0,78.0,11.0,6.0,1.0,5.0,6.0,3.0,3.0,4.0,4.0,1.0,2.0,1.0,25.0,75.0
Day5,73.0,15.0,32.0,70.0,1.0,78.0,10.0,8.0,3.0,4.0,2.0,0.0,4.0,3.0,2.0,1.0,3.0,1.0,26.0,74.0
Day6,70.0,13.0,39.0,66.0,3.0,74.0,12.0,7.0,1.0,4.0,3.0,5.0,3.0,1.0,3.0,0.0,1.0,5.0,34.0,66.0
Day7,65.0,15.0,36.0,69.0,3.0,79.0,12.0,7.0,4.0,2.0,2.0,3.0,4.0,2.0,4.0,6.0,3.0,4.0,29.0,71.0
Day8,58.0,21.0,43.0,59.0,0.0,70.0,19.0,8.0,3.0,2.0,4.0,3.0,7.0,5.0,4.0,3.0,2.0,2.0,34.0,66.0
Day9,73.0,14.0,29.0,72.0,2.0,81.0,10.0,6.0,2.0,2.0,3.0,2.0,3.0,1.0,0.0,4.0,2.0,1.0,23.0,77.0
Day10,61.0,18.0,23.0,67.0,2.0,83.0,15.0,7.0,1.0,6.0,6.0,3.0,5.0,2.0,1.0,2.0,5.0,4.0,21.0,79.0
Day11,63.0,16.0,34.0,69.0,1.0,82.0,13.0,6.0,4.0,0.0,4.0,3.0,1.0,4.0,3.0,2.0,9.0,3.0,28.0,72.0
Day12,71.0,12.0,36.0,68.0,5.0,76.0,10.0,4.0,4.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,4.0,1.0,29.0,71.0
Day13,63.0,17.0,31.0,66.0,3.0,79.0,14.0,13.0,4.0,3.0,8.0,3.0,3.0,3.0,0.0,2.0,1.0,5.0,28.0,72.0
Day14,71.0,14.0,33.0,72.0,1.0,81.0,12.0,3.0,3.0,4.0,2.0,1.0,3.0,2.0,5.0,5.0,5.0,1.0,24.0,76.0
Day15,67.0,9.0,28.0,66.0,4.0,82.0,4.0,2.0,3.0,5.0,0.0,0.0,1.0,0.0,5.0,8.0,3.0,3.0,21.0,79.0
Day16,56.0,17.0,31.0,57.0,2.0,76.0,15.0,4.0,0.0,6.0,2.0,4.0,2.0,5.0,4.0,7.0,2.0,3.0,26.0,74.0
Day17,66.0,13.0,31.0,64.0,5.0,76.0,13.0,3.0,0.0,7.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,25.0,75.0
Day18,74.0,12.0,36.0,68.0,0.0,77.0,9.0,8.0,6.0,4.0,4.0,0.0,3.0,3.0,2.0,2.0,1.0,3.0,29.0,71.0
Day19,70.0,12.0,23.0,78.0,4.0,86.0,8.0,3.0,1.0,5.0,2.0,1.0,0.0,5.0,2.0,4.0,3.0,1.0,19.0,81.0
Day20,69.0,13.0,33.0,64.0,4.0,76.0,9.0,3.0,3.0,4.0,2.0,3.0,0.0,2.0,2.0,3.0,4.0,6.0,28.0,72.0
Day21,69.0,14.0,38.0,66.0,4.0,74.0,10.0,7.0,1.0,3.0,4.0,3.0,0.0,3.0,2.0,4.0,3.0,1.0,32.0,68.0
Day22,67.0,12.0,46.0,55.0,3.0,68.0,10.0,8.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,42.0,58.0
Day23,62.0,20.0,40.0,64.0,2.0,71.0,14.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,7.0,2.0,2.0,33.0,67.0
Day24,64.0,18.0,37.0,60.0,4.0,69.0,15.0,4.0,2.0,4.0,2.0,5.0,3.0,4.0,1.0,1.0,4.0,2.0,33.0,67.0
Day25,63.0,20.0,41.0,67.0,5.0,70.0,17.0,1.0,3.0,2.0,0.0,1.0,6.0,5.0,2.0,3.0,3.0,1.0,36.0,64.0
Day26,73.0,13.0,37.0,67.0,5.0,70.0,12.0,3.0,0.0,4.0,1.0,2.0,4.0,2.0,2.0,3.0,0.0,5.0,34.0,66.0
Day27,66.0,14.0,40.0,62.0,1.0,69.0,10.0,7.0,7.0,1.0,4.0,5.0,1.0,2.0,1.0,2.0,3.0,2.0,37.0,63.0
Day28,65.0,13.0,32.0,66.0,2.0,78.0,9.0,3.0,2.0,4.0,1.0,0.0,2.0,4.0,3.0,2.0,6.0,2.0,26.0,74.0
Day29,62.0,15.0,35.0,56.0,2.0,72.0,12.0,10.0,3.0,2.0,2.0,3.0,5.0,2.0,4.0,1.0,1.0,3.0,31.0,69.0
Day30,75.0,13.0,36.0,68.0,2.0,76.0,8.0,5.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,5.0,5.0,33.0,67.0
Day31,70.0,9.0,35.0,60.0,3.0,74.0,8.0,6.0,3.0,4.0,3.0,3.0,1.0,1.0,4.0,4.0,3.0,3.0,30.0,70.0
Day32,70.0,15.0,27.0,74.0,3.0,85.0,14.0,4.0,3.0,1.0,2.0,4.0,6.0,2.0,3.0,1.0,3.0,2.0,20.0,80.0
Day33,70.0,10.0,36.0,62.0,5.0,72.0,9.0,8.0,4.0,1.0,6.0,1.0,3.0,2.0,2.0,1.0,5.0,1.0,30.0,70.0
Day34,71.0,13.0,41.0,59.0,2.0,68.0,13.0,6.0,2.0,1.0,1.0,3.0,3.0,5.0,4.0,3.0,1.0,2.0,34.0,66.0
Day35,73.0,16.0,35.0,69.0,1.0,75.0,14.0,6.0,0.0,4.0,4.0,6.0,4.0,2.0,0.0,4.0,3.0,2.0,34.0,66.0
