,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Day0,64.0,16.0,70.0,41.0,1.0,45.0,12.0,5.0,5.0,2.0,2.0,5.0,3.0,2.0,3.0,4.0,1.0,7.0,67.0,33.0
Day1,24.0,66.0,75.0,42.0,3.0,42.0,6.0,7.0,3.0,2.0,1.0,0.0,0.0,3.0,1.0,3.0,4.0,3.0,73.0,27.0
Day2,38.0,15.0,85.0,42.0,2.0,49.0,12.0,8.0,2.0,2.0,4.0,4.0,4.0,2.0,6.0,3.0,2.0,2.0,62.0,38.0
Day3,57.0,6.0,71.0,73.0,4.0,43.0,6.0,6.0,5.0,4.0,4.0,1.0,2.0,2.0,5.0,5.0,5.0,2.0,69.0,31.0
Day4,58.0,13.0,73.0,77.0,59.0,39.0,11.0,6.0,1.0,5.0,6.0,3.0,3.0,4.0,4.0,1.0,2.0,1.0,70.0,30.0
Day5,61.0,15.0,73.0,62.0,1.0,78.0,10.0,8.0,3.0,4.0,2.0,0.0,4.0,3.0,2.0,1.0,3.0,1.0,71.0,29.0
Day6,28.0,61.0,78.0,40.0,3.0,39.0,60.0,7.0,1.0,4.0,3.0,5.0,3.0,1.0,3.0,0.0,1.0,5.0,76.0,24.0
Day7,55.0,15.0,72.0,58.0,3.0,73.0,12.0,49.0,4.0,2.0,2.0,3.0,4.0,2.0,4.0,6.0,3.0,4.0,70.0,30.0
Day8,35.0,21.0,82.0,45.0,0.0,46.0,19.0,8.0,41.0,2.0,4.0,3.0,7.0,5.0,4.0,3.0,2.0,2.0,68.0,32.0
Day9,74.0,14.0,61.0,42.0,2.0,47.0,10.0,6.0,2.0,57.0,3.0,2.0,3.0,1.0,0.0,4.0,2.0,1.0,58.0,42.0
Day10,56.0,18.0,69.0,59.0,2.0,78.0,15.0,53.0,1.0,6.0,52.0,3.0,5.0,2.0,1.0,2.0,5.0,4.0,69.0,31.0
Day11,27.0,59.0,75.0,43.0,1.0,47.0,56.0,6.0,4.0,0.0,4.0,46.0,1.0,4.0,3.0,2.0,9.0,3.0,71.0,29.0
Day12,26.0,65.0,73.0,46.0,5.0,43.0,63.0,4.0,4.0,1.0,2.0,3.0,56.0,2.0,1.0,3.0,4.0,1.0,69.0,31.0
Day13,27.0,63.0,79.0,38.0,3.0,40.0,60.0,13.0,4.0,3.0,8.0,3.0,3.0,49.0,0.0,2.0,1.0,5.0,77.0,23.0
Day14,40.0,14.0,92.0,38.0,1.0,37.0,12.0,3.0,3.0,4.0,2.0,1.0,3.0,2.0,54.0,5.0,5.0,1.0,75.0,25.0
Day15,64.0,9.0,74.0,60.0,4.0,75.0,4.0,2.0,3.0,5.0,0.0,0.0,1.0,0.0,5.0,53.0,3.0,3.0,71.0,29.0
Day16,55.0,17.0,72.0,54.0,2.0,69.0,15.0,4.0,0.0,6.0,2.0,4.0,2.0,5.0,4.0,7.0,41.0,3.0,72.0,28.0
Day17,65.0,13.0,76.0,67.0,5.0,77.0,13.0,3.0,0.0,7.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,53.0,73.0,27.0
Day18,76.0,12.0,68.0,41.0,0.0,45.0,9.0,8.0,6.0,4.0,4.0,0.0,3.0,3.0,2.0,2.0,1.0,3.0,64.0,36.0
Day19,23.0,63.0,61.0,50.0,4.0,50.0,8.0,3.0,1.0,5.0,2.0,1.0,0.0,5.0,2.0,4.0,3.0,1.0,61.0,39.0
Day20,37.0,13.0,84.0,40.0,4.0,43.0,9.0,3.0,3.0,4.0,2.0,3.0,0.0,2.0,2.0,3.0,4.0,6.0,68.0,32.0
Day21,62.0,14.0,76.0,76.0,4.0,40.0,10.0,7.0,1.0,3.0,4.0,3.0,0.0,3.0,2.0,4.0,3.0,1.0,72.0,28.0
Day22,65.0,12.0,78.0,76.0,52.0,40.0,10.0,8.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,76.0,24.0
Day23,53.0,20.0,75.0,56.0,2.0,67.0,14.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,7.0,2.0,2.0,73.0,27.0
Day24,22.0,67.0,72.0,39.0,4.0,39.0,64.0,4.0,2.0,4.0,2.0,5.0,3.0,4.0,1.0,1.0,4.0,2.0,70.0,30.0
Day25,53.0,20.0,73.0,58.0,5.0,69.0,17.0,45.0,3.0,2.0,0.0,1.0,6.0,5.0,2.0,3.0,3.0,1.0,70.0,30.0
Day26,41.0,13.0,84.0,45.0,5.0,43.0,12.0,3.0,53.0,4.0,1.0,2.0,4.0,2.0,2.0,3.0,0.0,5.0,65.0,35.0
Day27,71.0,14.0,72.0,40.0,1.0,40.0,10.0,7.0,7.0,53.0,4.0,5.0,1.0,2.0,1.0,2.0,3.0,2.0,71.0,29.0
Day28,56.0,13.0,74.0,57.0,2.0,74.0,9.0,53.0,2.0,4.0,51.0,0.0,2.0,4.0,3.0,2.0,6.0,2.0,72.0,28.0
Day29,27.0,63.0,72.0,42.0,2.0,45.0,60.0,10.0,3.0,2.0,2.0,51.0,5.0,2.0,4.0,1.0,1.0,3.0,68.0,32.0
Day30,23.0,70.0,74.0,40.0,2.0,42.0,65.0,5.0,2.0,2.0,1.0,1.0,59.0,3.0,1.0,1.0,5.0,5.0,72.0,28.0
Day31,28.0,60.0,80.0,35.0,3.0,36.0,59.0,6.0,3.0,4.0,3.0,3.0,1.0,52.0,4.0,4.0,3.0,3.0,79.0,21.0
Day32,42.0,15.0,90.0,47.0,3.0,48.0,14.0,4.0,3.0,1.0,2.0,4.0,6.0,2.0,59.0,1.0,3.0,2.0,65.0,35.0
Day33,63.0,10.0,75.0,64.0,5.0,77.0,9.0,8.0,4.0,1.0,6.0,1.0,3.0,2.0,2.0,56.0,5.0,1.0,73.0,27.0
