,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Day0,59.0,43.0,87.0,10.0,45.0,48.0,7.0,3.0,5.0,2.0,2.0,5.0,3.0,2.0,3.0,4.0,1.0,7.0,53.0,47.0
Day1,11.0,77.0,68.0,6.0,45.0,43.0,6.0,6.0,3.0,2.0,1.0,0.0,0.0,3.0,1.0,3.0,4.0,3.0,58.0,42.0
Day2,17.0,56.0,90.0,6.0,56.0,61.0,9.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,6.0,3.0,2.0,2.0,41.0,59.0
Day3,47.0,20.0,69.0,60.0,22.0,47.0,31.0,2.0,5.0,4.0,4.0,1.0,2.0,2.0,5.0,5.0,5.0,2.0,53.0,47.0
Day4,14.0,40.0,56.0,6.0,74.0,58.0,9.0,0.0,1.0,5.0,6.0,3.0,3.0,4.0,4.0,1.0,2.0,1.0,43.0,57.0
Day5,13.0,46.0,63.0,7.0,43.0,77.0,6.0,6.0,3.0,4.0,2.0,0.0,4.0,3.0,2.0,1.0,3.0,1.0,49.0,51.0
Day6,49.0,24.0,74.0,38.0,26.0,43.0,55.0,4.0,1.0,4.0,3.0,5.0,3.0,1.0,3.0,0.0,1.0,5.0,60.0,40.0
Day7,20.0,51.0,89.0,9.0,53.0,55.0,8.0,47.0,4.0,2.0,2.0,3.0,4.0,2.0,4.0,6.0,3.0,4.0,45.0,55.0
Day8,38.0,27.0,71.0,49.0,26.0,52.0,30.0,4.0,41.0,2.0,4.0,3.0,7.0,5.0,4.0,3.0,2.0,2.0,49.0,51.0
Day9,12.0,51.0,86.0,5.0,52.0,59.0,9.0,3.0,2.0,57.0,3.0,2.0,3.0,1.0,0.0,4.0,2.0,1.0,41.0,59.0
Day10,37.0,19.0,58.0,29.0,22.0,56.0,59.0,1.0,1.0,6.0,52.0,3.0,5.0,2.0,1.0,2.0,5.0,4.0,45.0,55.0
Day11,67.0,45.0,86.0,9.0,45.0,53.0,11.0,2.0,4.0,0.0,4.0,46.0,1.0,4.0,3.0,2.0,9.0,3.0,49.0,51.0
Day12,16.0,47.0,90.0,10.0,46.0,50.0,9.0,2.0,4.0,1.0,2.0,3.0,56.0,2.0,1.0,3.0,4.0,1.0,50.0,50.0
Day13,13.0,46.0,81.0,11.0,49.0,58.0,17.0,5.0,4.0,3.0,8.0,3.0,3.0,49.0,0.0,2.0,1.0,5.0,42.0,58.0
Day14,69.0,47.0,92.0,10.0,45.0,51.0,11.0,1.0,3.0,4.0,2.0,1.0,3.0,2.0,54.0,5.0,5.0,1.0,51.0,49.0
Day15,15.0,51.0,83.0,5.0,54.0,61.0,6.0,2.0,3.0,5.0,0.0,0.0,1.0,0.0,5.0,53.0,3.0,3.0,41.0,59.0
Day16,61.0,37.0,91.0,9.0,39.0,42.0,7.0,2.0,0.0,6.0,2.0,4.0,2.0,5.0,4.0,7.0,41.0,3.0,60.0,40.0
Day17,15.0,44.0,64.0,9.0,73.0,51.0,10.0,2.0,0.0,7.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,53.0,49.0,51.0
Day18,65.0,48.0,85.0,13.0,49.0,59.0,15.0,4.0,6.0,4.0,4.0,0.0,3.0,3.0,2.0,2.0,1.0,3.0,42.0,58.0
Day19,13.0,69.0,51.0,8.0,54.0,61.0,8.0,1.0,1.0,5.0,2.0,1.0,0.0,5.0,2.0,4.0,3.0,1.0,40.0,60.0
Day20,18.0,52.0,87.0,7.0,56.0,57.0,8.0,1.0,3.0,4.0,2.0,3.0,0.0,2.0,2.0,3.0,4.0,6.0,43.0,57.0
Day21,43.0,18.0,67.0,57.0,18.0,45.0,33.0,3.0,1.0,3.0,4.0,3.0,0.0,3.0,2.0,4.0,3.0,1.0,56.0,44.0
Day22,12.0,53.0,74.0,5.0,69.0,38.0,8.0,5.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,64.0,36.0
Day23,21.0,45.0,67.0,14.0,41.0,69.0,11.0,0.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,7.0,2.0,2.0,50.0,50.0
Day24,47.0,21.0,69.0,37.0,23.0,47.0,56.0,2.0,2.0,4.0,2.0,5.0,3.0,4.0,1.0,1.0,4.0,2.0,54.0,46.0
Day25,13.0,37.0,85.0,9.0,38.0,45.0,10.0,45.0,3.0,2.0,0.0,1.0,6.0,5.0,2.0,3.0,3.0,1.0,57.0,43.0
Day26,41.0,20.0,65.0,60.0,25.0,50.0,32.0,2.0,53.0,4.0,1.0,2.0,4.0,2.0,2.0,3.0,0.0,5.0,51.0,49.0
Day27,22.0,44.0,89.0,15.0,44.0,49.0,10.0,3.0,7.0,53.0,4.0,5.0,1.0,2.0,1.0,2.0,3.0,2.0,52.0,48.0
Day28,39.0,19.0,64.0,31.0,19.0,49.0,56.0,2.0,2.0,4.0,51.0,0.0,2.0,4.0,3.0,2.0,6.0,2.0,52.0,48.0
Day29,64.0,47.0,90.0,7.0,46.0,50.0,8.0,8.0,3.0,2.0,2.0,51.0,5.0,2.0,4.0,1.0,1.0,3.0,52.0,48.0
Day30,12.0,50.0,92.0,5.0,49.0,47.0,5.0,4.0,2.0,2.0,1.0,1.0,59.0,3.0,1.0,1.0,5.0,5.0,55.0,45.0
Day31,19.0,44.0,91.0,7.0,46.0,48.0,8.0,3.0,3.0,4.0,3.0,3.0,1.0,52.0,4.0,4.0,3.0,3.0,55.0,45.0
Day32,69.0,56.0,88.0,6.0,59.0,65.0,7.0,2.0,3.0,1.0,2.0,4.0,6.0,2.0,59.0,1.0,3.0,2.0,39.0,61.0
Day33,16.0,43.0,86.0,10.0,45.0,52.0,14.0,2.0,4.0,1.0,6.0,1.0,3.0,2.0,2.0,56.0,5.0,1.0,48.0,52.0
Day34,71.0,42.0,94.0,5.0,45.0,47.0,4.0,5.0,2.0,1.0,1.0,3.0,3.0,5.0,4.0,3.0,57.0,2.0,54.0,46.0
Day35,17.0,44.0,65.0,6.0,73.0,48.0,7.0,2.0,0.0,4.0,4.0,6.0,4.0,2.0,0.0,4.0,3.0,57.0,53.0,47.0
Day36,65.0,50.0,86.0,3.0,56.0,61.0,7.0,6.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,40.0,60.0
Day37,11.0,65.0,61.0,5.0,44.0,51.0,8.0,5.0,3.0,0.0,5.0,2.0,2.0,5.0,1.0,3.0,4.0,2.0,52.0,48.0
Day38,18.0,38.0,88.0,14.0,37.0,45.0,14.0,3.0,6.0,6.0,3.0,1.0,1.0,4.0,3.0,5.0,2.0,0.0,57.0,43.0
Day39,38.0,25.0,65.0,58.0,27.0,54.0,31.0,7.0,5.0,1.0,2.0,3.0,4.0,4.0,3.0,2.0,1.0,4.0,47.0,53.0
Day40,13.0,45.0,58.0,7.0,76.0,62.0,6.0,2.0,2.0,2.0,2.0,0.0,5.0,7.0,4.0,3.0,1.0,2.0,39.0,61.0
Day41,16.0,52.0,70.0,11.0,53.0,78.0,11.0,4.0,4.0,4.0,4.0,2.0,4.0,0.0,1.0,8.0,7.0,3.0,49.0,51.0
