,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Day0,39.0,4.0,6.0,2.0,2.0,2.0,2.0,4.0,5.0,2.0,3.0,6.0,3.0,3.0,4.0,4.0,1.0,8.0,64.0,36.0
Day1,2.0,61.0,4.0,2.0,3.0,1.0,3.0,5.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,3.0,4.0,3.0,75.0,25.0
Day2,2.0,3.0,54.0,1.0,1.0,3.0,2.0,5.0,3.0,2.0,3.0,4.0,4.0,2.0,5.0,2.0,2.0,2.0,60.0,40.0
Day3,1.0,0.0,3.0,51.0,5.0,1.0,1.0,2.0,5.0,3.0,5.0,1.0,2.0,2.0,6.0,5.0,5.0,2.0,69.0,31.0
Day4,2.0,2.0,2.0,4.0,57.0,1.0,1.0,0.0,1.0,6.0,6.0,3.0,3.0,4.0,4.0,1.0,2.0,1.0,69.0,31.0
Day5,1.0,5.0,1.0,3.0,1.0,57.0,3.0,6.0,3.0,4.0,2.0,0.0,3.0,3.0,2.0,2.0,3.0,1.0,71.0,29.0
Day6,4.0,1.0,4.0,3.0,3.0,5.0,50.0,4.0,1.0,4.0,3.0,4.0,4.0,1.0,3.0,0.0,1.0,5.0,78.0,22.0
Day7,4.0,2.0,3.0,3.0,3.0,0.0,4.0,48.0,4.0,1.0,2.0,4.0,4.0,2.0,4.0,6.0,2.0,4.0,69.0,31.0
Day8,2.0,3.0,8.0,4.0,0.0,3.0,4.0,4.0,39.0,3.0,4.0,3.0,6.0,5.0,4.0,3.0,3.0,2.0,68.0,32.0
Day9,5.0,4.0,4.0,2.0,2.0,1.0,4.0,3.0,2.0,56.0,3.0,2.0,4.0,1.0,0.0,4.0,2.0,1.0,58.0,42.0
Day10,1.0,3.0,1.0,2.0,2.0,4.0,5.0,1.0,1.0,5.0,53.0,3.0,5.0,2.0,1.0,2.0,5.0,4.0,69.0,31.0
Day11,2.0,3.0,4.0,2.0,1.0,5.0,5.0,2.0,4.0,1.0,4.0,47.0,1.0,4.0,3.0,2.0,7.0,3.0,71.0,29.0
Day12,3.0,2.0,3.0,1.0,4.0,3.0,2.0,2.0,4.0,1.0,2.0,3.0,57.0,2.0,1.0,3.0,6.0,1.0,68.0,32.0
Day13,2.0,3.0,1.0,4.0,4.0,1.0,5.0,4.0,4.0,2.0,8.0,3.0,4.0,48.0,0.0,2.0,1.0,4.0,77.0,23.0
Day14,2.0,2.0,2.0,3.0,1.0,2.0,6.0,2.0,3.0,5.0,2.0,1.0,3.0,2.0,52.0,5.0,5.0,2.0,75.0,25.0
Day15,5.0,5.0,1.0,3.0,4.0,4.0,3.0,1.0,3.0,5.0,0.0,0.0,1.0,0.0,5.0,54.0,3.0,3.0,72.0,28.0
Day16,4.0,2.0,3.0,4.0,2.0,6.0,4.0,3.0,0.0,6.0,2.0,3.0,2.0,5.0,5.0,8.0,38.0,3.0,71.0,29.0
Day17,3.0,0.0,4.0,4.0,5.0,2.0,5.0,2.0,0.0,6.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,53.0,73.0,27.0
