,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Day0,100.0,11.0,5.0,9.0,7.0,8.0,8.0,9.0,6.0,9.0,4.0,6.0,8.0,7.0,21.0,14.0,34.0,12.0,8.0,11.0
Day1,100.0,5.0,7.0,6.0,7.0,10.0,9.0,8.0,9.0,7.0,5.0,6.0,10.0,8.0,24.0,27.0,30.0,6.0,4.0,9.0
Day2,100.0,8.0,4.0,5.0,10.0,12.0,6.0,10.0,5.0,4.0,7.0,11.0,9.0,4.0,24.0,27.0,21.0,10.0,9.0,9.0
Day3,100.0,8.0,6.0,6.0,10.0,9.0,5.0,9.0,6.0,5.0,5.0,5.0,5.0,16.0,20.0,26.0,23.0,6.0,14.0,11.0
Day4,100.0,12.0,6.0,5.0,4.0,10.0,6.0,6.0,9.0,5.0,8.0,4.0,8.0,6.0,19.0,22.0,26.0,6.0,9.0,18.0
Day5,100.0,5.0,8.0,7.0,4.0,11.0,4.0,10.0,4.0,11.0,9.0,4.0,11.0,7.0,18.0,27.0,29.0,9.0,9.0,8.0
Day6,100.0,12.0,8.0,3.0,6.0,9.0,3.0,7.0,9.0,6.0,6.0,8.0,9.0,8.0,21.0,26.0,25.0,6.0,11.0,11.0
Day7,100.0,5.0,5.0,6.0,12.0,8.0,8.0,6.0,9.0,7.0,7.0,7.0,4.0,11.0,24.0,24.0,26.0,4.0,9.0,13.0
Day8,100.0,5.0,6.0,9.0,7.0,6.0,8.0,13.0,5.0,5.0,6.0,8.0,8.0,7.0,25.0,17.0,31.0,11.0,10.0,6.0
Day9,100.0,7.0,9.0,9.0,5.0,6.0,8.0,5.0,12.0,6.0,7.0,6.0,5.0,6.0,23.0,25.0,20.0,8.0,11.0,13.0
Day10,100.0,8.0,10.0,2.0,6.0,11.0,7.0,9.0,4.0,12.0,7.0,8.0,6.0,7.0,19.0,27.0,30.0,5.0,10.0,9.0
Day11,100.0,13.0,7.0,2.0,6.0,5.0,10.0,8.0,7.0,4.0,10.0,3.0,8.0,8.0,18.0,28.0,23.0,17.0,5.0,9.0
Day12,100.0,7.0,7.0,9.0,5.0,9.0,8.0,8.0,5.0,13.0,5.0,5.0,6.0,5.0,19.0,27.0,17.0,19.0,12.0,6.0
Day13,100.0,5.0,8.0,5.0,6.0,5.0,13.0,6.0,8.0,6.0,7.0,7.0,9.0,4.0,23.0,24.0,22.0,8.0,11.0,12.0
Day14,100.0,1.0,11.0,8.0,9.0,8.0,8.0,6.0,5.0,5.0,9.0,8.0,6.0,12.0,24.0,18.0,23.0,9.0,14.0,12.0
Day15,100.0,12.0,5.0,5.0,6.0,2.0,5.0,15.0,8.0,4.0,6.0,10.0,5.0,9.0,21.0,23.0,29.0,11.0,8.0,8.0
Day16,100.0,3.0,2.0,7.0,10.0,6.0,5.0,3.0,11.0,10.0,9.0,9.0,7.0,9.0,18.0,17.0,35.0,11.0,8.0,11.0
Day17,100.0,6.0,9.0,9.0,3.0,5.0,4.0,11.0,9.0,9.0,8.0,7.0,4.0,11.0,28.0,26.0,22.0,5.0,5.0,14.0
Day18,100.0,5.0,8.0,5.0,8.0,6.0,7.0,7.0,8.0,10.0,5.0,8.0,11.0,6.0,25.0,22.0,25.0,7.0,9.0,12.0
Day19,100.0,6.0,8.0,7.0,12.0,6.0,4.0,9.0,6.0,8.0,6.0,3.0,10.0,4.0,29.0,25.0,22.0,7.0,9.0,8.0
Day20,100.0,5.0,8.0,9.0,1.0,9.0,8.0,8.0,12.0,8.0,6.0,8.0,4.0,8.0,26.0,19.0,26.0,9.0,12.0,8.0
Day21,100.0,2.0,6.0,8.0,10.0,4.0,5.0,6.0,7.0,8.0,6.0,16.0,5.0,11.0,23.0,18.0,28.0,11.0,10.0,10.0
Day22,100.0,4.0,4.0,7.0,8.0,11.0,3.0,10.0,4.0,8.0,12.0,10.0,5.0,8.0,27.0,22.0,26.0,9.0,8.0,8.0
Day23,100.0,10.0,8.0,2.0,4.0,7.0,5.0,10.0,8.0,13.0,7.0,6.0,8.0,7.0,20.0,25.0,28.0,4.0,11.0,12.0
Day24,100.0,12.0,4.0,4.0,4.0,9.0,5.0,10.0,1.0,5.0,9.0,5.0,10.0,7.0,14.0,24.0,29.0,15.0,10.0,8.0
Day25,100.0,2.0,9.0,9.0,1.0,7.0,10.0,12.0,9.0,4.0,9.0,9.0,4.0,5.0,22.0,25.0,20.0,15.0,6.0,12.0
Day26,100.0,6.0,6.0,5.0,7.0,9.0,6.0,7.0,8.0,5.0,8.0,8.0,10.0,11.0,26.0,25.0,23.0,7.0,8.0,11.0
Day27,100.0,13.0,8.0,5.0,3.0,9.0,10.0,8.0,7.0,7.0,5.0,7.0,7.0,4.0,27.0,27.0,21.0,11.0,6.0,8.0
Day28,100.0,3.0,5.0,6.0,7.0,10.0,11.0,8.0,6.0,10.0,8.0,5.0,7.0,10.0,23.0,23.0,20.0,9.0,12.0,13.0
Day29,100.0,8.0,13.0,6.0,8.0,4.0,6.0,5.0,5.0,7.0,7.0,7.0,8.0,7.0,22.0,30.0,18.0,9.0,10.0,11.0
