,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Day0,100.0,4.0,6.0,3.0,1.0,2.0,3.0,3.0,5.0,2.0,3.0,6.0,3.0,3.0,4.0,4.0,1.0,8.0,34.0,66.0
Day1,100.0,1.0,4.0,1.0,3.0,1.0,3.0,6.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,3.0,4.0,3.0,34.0,66.0
Day2,100.0,3.0,5.0,1.0,2.0,3.0,2.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,5.0,3.0,2.0,2.0,26.0,74.0
Day3,100.0,0.0,3.0,3.0,4.0,1.0,1.0,2.0,5.0,4.0,4.0,1.0,2.0,2.0,6.0,5.0,5.0,2.0,28.0,72.0
Day4,100.0,2.0,2.0,4.0,7.0,1.0,1.0,0.0,1.0,5.0,6.0,3.0,3.0,4.0,4.0,0.0,2.0,1.0,25.0,75.0
Day5,100.0,5.0,1.0,3.0,1.0,1.0,3.0,6.0,3.0,4.0,2.0,0.0,3.0,3.0,2.0,2.0,3.0,1.0,27.0,73.0
Day6,100.0,1.0,4.0,3.0,3.0,5.0,3.0,4.0,1.0,4.0,3.0,5.0,4.0,1.0,3.0,0.0,1.0,5.0,34.0,66.0
Day7,100.0,3.0,3.0,3.0,3.0,0.0,3.0,5.0,4.0,2.0,2.0,3.0,4.0,2.0,4.0,6.0,3.0,4.0,29.0,71.0
Day8,100.0,2.0,8.0,4.0,0.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,6.0,5.0,4.0,3.0,2.0,2.0,34.0,66.0
Day9,100.0,4.0,4.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,3.0,2.0,4.0,1.0,0.0,4.0,2.0,1.0,23.0,77.0
Day10,100.0,3.0,1.0,2.0,2.0,4.0,5.0,1.0,1.0,6.0,6.0,3.0,5.0,2.0,1.0,2.0,5.0,4.0,21.0,79.0
Day11,100.0,3.0,4.0,2.0,1.0,5.0,5.0,2.0,4.0,0.0,4.0,3.0,1.0,4.0,3.0,2.0,8.0,3.0,28.0,72.0
Day12,100.0,2.0,3.0,3.0,5.0,3.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,5.0,1.0,29.0,71.0
Day13,100.0,3.0,1.0,2.0,3.0,1.0,5.0,5.0,4.0,3.0,8.0,3.0,4.0,3.0,0.0,2.0,1.0,5.0,28.0,72.0
Day14,100.0,2.0,2.0,4.0,1.0,2.0,6.0,1.0,3.0,4.0,2.0,1.0,3.0,2.0,5.0,5.0,5.0,1.0,24.0,76.0
Day15,100.0,5.0,1.0,2.0,4.0,5.0,3.0,2.0,3.0,5.0,0.0,0.0,1.0,0.0,4.0,8.0,3.0,3.0,21.0,79.0
Day16,100.0,2.0,3.0,4.0,2.0,5.0,4.0,2.0,0.0,6.0,2.0,4.0,2.0,5.0,5.0,7.0,2.0,3.0,26.0,74.0
Day17,100.0,0.0,4.0,4.0,5.0,2.0,5.0,2.0,0.0,7.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,24.0,76.0
Day18,100.0,3.0,1.0,3.0,0.0,1.0,3.0,4.0,6.0,4.0,4.0,0.0,3.0,3.0,2.0,2.0,1.0,3.0,30.0,70.0
Day19,100.0,3.0,2.0,5.0,4.0,4.0,2.0,1.0,1.0,5.0,2.0,1.0,0.0,5.0,2.0,4.0,3.0,1.0,19.0,81.0
Day20,100.0,5.0,1.0,1.0,3.0,0.0,4.0,1.0,3.0,4.0,2.0,3.0,0.0,2.0,2.0,3.0,4.0,6.0,28.0,72.0
Day21,100.0,4.0,5.0,3.0,5.0,1.0,4.0,3.0,1.0,3.0,4.0,3.0,0.0,3.0,2.0,4.0,3.0,1.0,32.0,68.0
Day22,100.0,2.0,3.0,1.0,3.0,4.0,3.0,5.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,41.0,59.0
Day23,100.0,6.0,3.0,6.0,2.0,0.0,3.0,0.0,4.0,1.0,4.0,4.0,4.0,3.0,3.0,8.0,2.0,2.0,33.0,67.0
Day24,100.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,5.0,2.0,5.0,3.0,4.0,1.0,1.0,4.0,2.0,34.0,66.0
Day25,100.0,3.0,4.0,4.0,5.0,4.0,6.0,1.0,3.0,2.0,0.0,1.0,6.0,5.0,2.0,3.0,3.0,1.0,36.0,64.0
Day26,100.0,1.0,3.0,5.0,5.0,1.0,4.0,2.0,0.0,4.0,1.0,2.0,4.0,2.0,2.0,3.0,0.0,5.0,33.0,67.0
Day27,100.0,4.0,2.0,5.0,1.0,1.0,2.0,3.0,6.0,1.0,4.0,5.0,1.0,2.0,1.0,2.0,3.0,2.0,38.0,62.0
Day28,100.0,4.0,6.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,0.0,0.0,2.0,4.0,3.0,2.0,6.0,2.0,26.0,74.0
Day29,100.0,3.0,0.0,2.0,2.0,4.0,2.0,8.0,3.0,2.0,3.0,3.0,5.0,2.0,4.0,1.0,1.0,3.0,31.0,69.0
Day30,100.0,5.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,5.0,5.0,33.0,67.0
Day31,100.0,1.0,1.0,1.0,3.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,1.0,4.0,4.0,3.0,3.0,30.0,70.0
Day32,100.0,1.0,1.0,1.0,3.0,7.0,2.0,2.0,3.0,1.0,2.0,4.0,6.0,2.0,3.0,1.0,3.0,2.0,20.0,80.0
Day33,100.0,1.0,2.0,3.0,5.0,0.0,3.0,2.0,4.0,1.0,6.0,1.0,2.0,2.0,2.0,1.0,5.0,1.0,29.0,71.0
Day34,100.0,0.0,4.0,2.0,2.0,1.0,2.0,5.0,2.0,1.0,1.0,3.0,4.0,5.0,4.0,3.0,1.0,2.0,35.0,65.0
Day35,100.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,0.0,4.0,4.0,6.0,4.0,2.0,0.0,4.0,3.0,2.0,34.0,66.0
