,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Day0,100.0,4.0,6.0,3.0,1.0,2.0,3.0,3.0,5.0,2.0,3.0,6.0,3.0,3.0,4.0,4.0,1.0,8.0,66.0,34.0
Day1,100.0,61.0,4.0,1.0,3.0,1.0,3.0,6.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,3.0,4.0,3.0,73.0,27.0
Day2,100.0,3.0,52.0,1.0,2.0,3.0,2.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,5.0,3.0,2.0,2.0,61.0,39.0
Day3,100.0,0.0,3.0,51.0,4.0,1.0,1.0,2.0,5.0,4.0,4.0,1.0,2.0,2.0,6.0,5.0,5.0,2.0,69.0,31.0
Day4,100.0,2.0,2.0,4.0,60.0,1.0,1.0,0.0,1.0,5.0,6.0,3.0,3.0,4.0,4.0,0.0,2.0,1.0,70.0,30.0
Day5,100.0,5.0,1.0,3.0,1.0,56.0,3.0,6.0,3.0,4.0,2.0,0.0,3.0,3.0,2.0,2.0,3.0,1.0,71.0,29.0
Day6,100.0,1.0,4.0,3.0,3.0,5.0,50.0,4.0,1.0,4.0,3.0,5.0,4.0,1.0,3.0,0.0,1.0,5.0,76.0,24.0
Day7,100.0,3.0,3.0,3.0,3.0,0.0,3.0,47.0,4.0,2.0,2.0,3.0,4.0,2.0,4.0,6.0,3.0,4.0,71.0,29.0
Day8,100.0,2.0,8.0,4.0,0.0,3.0,4.0,4.0,42.0,2.0,4.0,3.0,6.0,5.0,4.0,3.0,2.0,2.0,68.0,32.0
Day9,100.0,4.0,4.0,2.0,2.0,1.0,4.0,3.0,2.0,56.0,3.0,2.0,4.0,1.0,0.0,4.0,2.0,1.0,57.0,43.0
Day10,100.0,3.0,1.0,2.0,2.0,4.0,5.0,1.0,1.0,6.0,52.0,3.0,5.0,2.0,1.0,2.0,5.0,4.0,70.0,30.0
Day11,100.0,3.0,4.0,2.0,1.0,5.0,5.0,2.0,4.0,0.0,4.0,47.0,1.0,4.0,3.0,2.0,8.0,3.0,70.0,30.0
Day12,100.0,2.0,3.0,3.0,5.0,3.0,2.0,2.0,4.0,1.0,2.0,3.0,55.0,2.0,1.0,3.0,5.0,1.0,69.0,31.0
Day13,100.0,3.0,1.0,2.0,3.0,1.0,5.0,5.0,4.0,3.0,8.0,3.0,4.0,48.0,0.0,2.0,1.0,5.0,77.0,23.0
Day14,100.0,2.0,2.0,4.0,1.0,2.0,6.0,1.0,3.0,4.0,2.0,1.0,3.0,2.0,54.0,5.0,5.0,1.0,75.0,25.0
Day15,100.0,5.0,1.0,2.0,4.0,5.0,3.0,2.0,3.0,5.0,0.0,0.0,1.0,0.0,4.0,54.0,3.0,3.0,71.0,29.0
Day16,100.0,2.0,3.0,4.0,2.0,5.0,4.0,2.0,0.0,6.0,2.0,4.0,2.0,5.0,5.0,7.0,40.0,3.0,72.0,28.0
Day17,100.0,0.0,4.0,4.0,5.0,2.0,5.0,2.0,0.0,7.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,53.0,73.0,27.0
Day18,100.0,3.0,1.0,3.0,0.0,1.0,3.0,4.0,6.0,4.0,4.0,0.0,3.0,3.0,2.0,2.0,1.0,3.0,64.0,36.0
Day19,100.0,55.0,2.0,5.0,4.0,4.0,2.0,1.0,1.0,5.0,2.0,1.0,0.0,5.0,2.0,4.0,3.0,1.0,62.0,38.0
Day20,100.0,5.0,53.0,1.0,3.0,0.0,4.0,1.0,3.0,4.0,2.0,3.0,0.0,2.0,2.0,3.0,4.0,6.0,68.0,32.0
Day21,100.0,4.0,5.0,51.0,5.0,1.0,4.0,3.0,1.0,3.0,4.0,3.0,0.0,3.0,2.0,4.0,3.0,1.0,72.0,28.0
