,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Day0,56.0,46.0,69.0,32.0,15.0,8.0,61.0,75.0,10.0,9.0,4.0,6.0,8.0,37.0,21.0,14.0,67.0,37.0,22.0,33.0
Day1,52.0,42.0,69.0,33.0,17.0,10.0,61.0,78.0,14.0,7.0,5.0,6.0,10.0,37.0,24.0,27.0,70.0,34.0,31.0,40.0
Day2,53.0,48.0,63.0,36.0,19.0,12.0,52.0,75.0,12.0,4.0,7.0,11.0,9.0,42.0,24.0,27.0,66.0,42.0,36.0,45.0
Day3,64.0,54.0,74.0,30.0,15.0,9.0,62.0,80.0,11.0,5.0,5.0,5.0,5.0,48.0,20.0,26.0,74.0,35.0,40.0,51.0
Day4,60.0,45.0,71.0,27.0,12.0,10.0,64.0,83.0,17.0,5.0,8.0,4.0,8.0,33.0,19.0,22.0,75.0,30.0,31.0,49.0
Day5,62.0,49.0,72.0,33.0,15.0,11.0,61.0,80.0,13.0,11.0,9.0,4.0,11.0,45.0,18.0,27.0,73.0,40.0,36.0,44.0
Day6,60.0,49.0,72.0,27.0,15.0,9.0,59.0,81.0,15.0,6.0,6.0,8.0,9.0,37.0,21.0,26.0,73.0,31.0,37.0,48.0
Day7,58.0,46.0,73.0,30.0,16.0,8.0,62.0,79.0,16.0,7.0,7.0,7.0,4.0,43.0,24.0,24.0,72.0,34.0,33.0,46.0
Day8,54.0,45.0,68.0,30.0,15.0,6.0,59.0,76.0,11.0,5.0,6.0,8.0,8.0,42.0,25.0,17.0,64.0,39.0,27.0,33.0
Day9,56.0,42.0,69.0,25.0,10.0,6.0,57.0,77.0,19.0,6.0,7.0,6.0,5.0,35.0,23.0,25.0,69.0,31.0,36.0,49.0
Day10,54.0,41.0,67.0,25.0,12.0,11.0,58.0,80.0,11.0,12.0,7.0,8.0,6.0,33.0,19.0,27.0,76.0,28.0,37.0,46.0
Day11,56.0,45.0,65.0,21.0,14.0,5.0,58.0,75.0,17.0,4.0,10.0,3.0,8.0,34.0,18.0,28.0,65.0,32.0,33.0,42.0
Day12,68.0,50.0,76.0,29.0,11.0,9.0,66.0,74.0,10.0,13.0,5.0,5.0,6.0,44.0,19.0,27.0,62.0,44.0,39.0,45.0
Day13,52.0,36.0,65.0,25.0,15.0,5.0,60.0,78.0,15.0,6.0,7.0,7.0,9.0,31.0,23.0,24.0,69.0,30.0,35.0,47.0
Day14,53.0,45.0,66.0,31.0,15.0,8.0,52.0,73.0,14.0,5.0,9.0,8.0,6.0,44.0,24.0,18.0,67.0,36.0,32.0,44.0
Day15,55.0,47.0,65.0,18.0,11.0,2.0,53.0,79.0,14.0,4.0,6.0,10.0,5.0,38.0,21.0,23.0,68.0,29.0,31.0,39.0
Day16,63.0,47.0,69.0,30.0,17.0,6.0,61.0,81.0,20.0,10.0,9.0,9.0,7.0,44.0,18.0,17.0,71.0,38.0,25.0,36.0
Day17,54.0,42.0,72.0,21.0,7.0,5.0,57.0,79.0,17.0,9.0,8.0,7.0,4.0,37.0,28.0,26.0,67.0,26.0,31.0,45.0
Day18,62.0,48.0,74.0,30.0,19.0,6.0,60.0,77.0,13.0,10.0,5.0,8.0,11.0,43.0,25.0,22.0,68.0,37.0,31.0,43.0
Day19,66.0,48.0,81.0,35.0,22.0,6.0,61.0,73.0,12.0,8.0,6.0,3.0,10.0,43.0,29.0,25.0,64.0,41.0,34.0,42.0
Day20,52.0,39.0,68.0,23.0,5.0,9.0,57.0,77.0,18.0,8.0,6.0,8.0,4.0,34.0,26.0,19.0,65.0,29.0,31.0,39.0
Day21,58.0,45.0,71.0,27.0,15.0,4.0,60.0,80.0,13.0,8.0,6.0,16.0,5.0,43.0,23.0,18.0,66.0,35.0,28.0,38.0
Day22,59.0,46.0,70.0,31.0,13.0,11.0,54.0,77.0,16.0,8.0,12.0,10.0,5.0,43.0,27.0,22.0,64.0,38.0,30.0,38.0
Day23,55.0,39.0,68.0,21.0,12.0,7.0,58.0,82.0,15.0,13.0,7.0,6.0,8.0,31.0,20.0,25.0,76.0,25.0,36.0,48.0
Day24,61.0,47.0,67.0,27.0,14.0,9.0,63.0,79.0,10.0,5.0,9.0,5.0,10.0,38.0,14.0,24.0,71.0,37.0,34.0,42.0
Day25,45.0,33.0,60.0,21.0,5.0,7.0,54.0,77.0,18.0,4.0,9.0,9.0,4.0,32.0,22.0,25.0,63.0,32.0,31.0,43.0
Day26,58.0,49.0,73.0,31.0,17.0,9.0,61.0,79.0,16.0,5.0,8.0,8.0,10.0,43.0,26.0,25.0,67.0,35.0,33.0,44.0
Day27,55.0,45.0,75.0,24.0,10.0,9.0,67.0,76.0,12.0,7.0,5.0,7.0,7.0,35.0,27.0,27.0,62.0,33.0,33.0,41.0
Day28,54.0,43.0,64.0,30.0,14.0,10.0,56.0,74.0,14.0,10.0,8.0,5.0,7.0,43.0,23.0,23.0,68.0,37.0,35.0,48.0
Day29,52.0,39.0,70.0,26.0,16.0,4.0,58.0,75.0,12.0,7.0,7.0,7.0,8.0,35.0,22.0,30.0,69.0,32.0,40.0,51.0
