,204.255.174.70,152.63.51.65,137.39.4.156,137.39.11.48,198.32.200.50,129.250.2.225,129.250.0.30,152.63.51.61,137.39.4.155,137.39.11.47,137.39.11.27,152.63.51.57,208.50.13.218,206.132.110.194,129.250.0.79,129.250.0.82,192.205.32.126,12.123.13.69,206.132.110.190,129.250.2.61,166.90.50.134,209.247.10.230,209.247.8.237,144.232.18.158,144.232.8.189,137.39.11.31,137.39.11.45,129.250.0.83,152.63.51.69,144.232.18.81,144.232.8.98,144.232.19.190,204.255.168.85,206.24.210.62,137.39.2.19,137.39.2.11,137.39.7.87,144.232.4.242,12.122.11.218,12.122.10.6,205.171.4.98,137.39.7.85
0,105.0,15.0,23.0,14.0,20.0,11.0,11.0,26.0,52.0,50.0,34.0,26.0,16.0,8.0,9.0,6.0,9.0,7.0,5.0,5.0,3.0,3.0,3.0,24.0,14.0,6.0,6.0,4.0,8.0,6.0,4.0,2.0,3.0,3.0,3.0,2.0,6.0,3.0,2.0,1.0,0.0,0.0
1,117.0,11.0,23.0,17.0,11.0,5.0,5.0,20.0,47.0,41.0,30.0,27.0,15.0,9.0,4.0,3.0,16.0,4.0,4.0,3.0,1.0,1.0,1.0,30.0,13.0,4.0,4.0,2.0,12.0,6.0,4.0,4.0,12.0,12.0,3.0,3.0,4.0,5.0,9.0,6.0,5.0,7.0
2,112.0,12.0,22.0,16.0,16.0,9.0,9.0,21.0,59.0,53.0,36.0,38.0,15.0,7.0,8.0,4.0,13.0,4.0,7.0,5.0,4.0,4.0,3.0,24.0,12.0,7.0,7.0,2.0,10.0,6.0,5.0,3.0,7.0,3.0,6.0,2.0,4.0,6.0,9.0,7.0,7.0,3.0
3,113.0,11.0,27.0,18.0,18.0,11.0,11.0,32.0,55.0,47.0,27.0,23.0,12.0,2.0,10.0,8.0,11.0,5.0,9.0,7.0,6.0,5.0,5.0,24.0,10.0,4.0,4.0,3.0,16.0,6.0,6.0,5.0,3.0,3.0,6.0,5.0,2.0,4.0,6.0,4.0,4.0,1.0
4,117.0,7.0,19.0,14.0,13.0,7.0,7.0,28.0,55.0,51.0,31.0,27.0,13.0,9.0,7.0,1.0,8.0,2.0,4.0,6.0,5.0,4.0,4.0,32.0,13.0,5.0,5.0,3.0,12.0,9.0,4.0,8.0,11.0,9.0,3.0,6.0,4.0,4.0,4.0,3.0,3.0,1.0
5,111.0,10.0,21.0,14.0,17.0,6.0,6.0,28.0,53.0,46.0,28.0,25.0,15.0,6.0,10.0,6.0,11.0,7.0,7.0,9.0,7.0,6.0,6.0,29.0,14.0,3.0,3.0,3.0,11.0,6.0,3.0,3.0,8.0,8.0,3.0,3.0,3.0,7.0,4.0,1.0,2.0,3.0
6,115.0,13.0,27.0,21.0,15.0,9.0,9.0,24.0,45.0,43.0,31.0,21.0,13.0,5.0,9.0,3.0,12.0,4.0,6.0,5.0,4.0,3.0,3.0,32.0,16.0,5.0,5.0,3.0,14.0,8.0,4.0,3.0,8.0,8.0,6.0,5.0,8.0,6.0,7.0,5.0,2.0,0.0
7,116.0,16.0,29.0,24.0,13.0,6.0,6.0,27.0,49.0,41.0,22.0,22.0,14.0,5.0,2.0,1.0,15.0,5.0,6.0,2.0,8.0,7.0,7.0,28.0,16.0,3.0,3.0,2.0,13.0,8.0,7.0,3.0,8.0,6.0,7.0,4.0,3.0,3.0,9.0,6.0,2.0,2.0
8,112.0,10.0,25.0,21.0,12.0,4.0,4.0,32.0,54.0,48.0,29.0,22.0,19.0,7.0,7.0,4.0,16.0,7.0,10.0,6.0,6.0,5.0,5.0,29.0,15.0,4.0,4.0,2.0,15.0,5.0,3.0,6.0,3.0,2.0,4.0,3.0,4.0,4.0,9.0,7.0,7.0,2.0
9,119.0,16.0,32.0,24.0,15.0,7.0,7.0,26.0,51.0,46.0,30.0,25.0,9.0,4.0,9.0,3.0,10.0,6.0,3.0,7.0,6.0,3.0,3.0,25.0,14.0,2.0,2.0,5.0,16.0,8.0,5.0,4.0,10.0,9.0,3.0,7.0,6.0,1.0,4.0,4.0,3.0,4.0
